speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
smeargle,Smeargle,97.8,,,,,LOCK_ON,V_CREATE,LEAF_BLADE,100,100,100,91.1,stunfisk_galarian:774;bastiodon:751;jellicent:848;bronzor:644;shuckle_shadow:614,wobbuffet:338;wynaut:492;wobbuffet_shadow:419;deino:494;altaria:391
seel,Seel,72.5,,,,,WATER_GUN,AQUA_TAIL,ICY_WIND,66.4,73.8,65.2,58.3,stunfisk_galarian:707;bastiodon:712;nidoqueen_shadow:702;marowak_alolan:622;slurpuff:533,shuckle:476;shuckle_shadow:428;bronzor:296;jellicent:344;smeargle:174
granbull_shadow,Granbull (Shadow),72.4,,,,,CHARM,CLOSE_COMBAT,CRUNCH,46.9,69.5,68.7,74.9,jellicent:769;pachirisu:608;chikorita:685;seel:589;stunky_shadow:692,stunfisk_galarian:392;bastiodon:262;smeargle:277;wobbuffet:363;shuckle_shadow:303
wooper_shadow,Wooper (Shadow),72.4,,,,,MUD_SHOT,BODY_SLAM,MUD_BOMB,71.1,66.7,67.4,43.2,stunfisk_galarian:879;bastiodon:818;nidoqueen_shadow:758;marowak_alolan:840;pachirisu:612,bronzor:388;shuckle_shadow:410;wobbuffet:353;jellicent:361;shuckle:363
gardevoir_shadow,Gardevoir (Shadow),72.2,,,,,CHARM,SYNCHRONOISE,SHADOW_BALL,47.7,68.4,71.3,73.9,jellicent:610;wobbuffet_shadow:508;pachirisu:686;chikorita:652;sandshrew_alolan:610,stunfisk_galarian:392;bastiodon:300;smeargle:277;wobbuffet:436;shuckle_shadow:327
wigglytuff,Wigglytuff,72,,,,,CHARM,ICE_BEAM,PLAY_ROUGH,46.8,71.1,67.6,73.9,jellicent:913;granbull_shadow:559;gardevoir_shadow:559;granbull:547;seel:507,stunfisk_galarian:367;bastiodon:306;smeargle:325;wobbuffet:282;shuckle_shadow:238
wooper,Wooper,71.9,,,,,MUD_SHOT,BODY_SLAM,MUD_BOMB,72,63.6,62.8,47,stunfisk_galarian:853;bastiodon:844;bronzor:504;nidoqueen_shadow:797;marowak_alolan:866,shuckle:464;shuckle_shadow:363;smeargle:192;wobbuffet:274;jellicent:294
slurpuff,Slurpuff,71.5,,,,,CHARM,FLAMETHROWER,ENERGY_BALL,46.9,70.4,66.7,72.9,jellicent:772;whimsicott:506;granbull_shadow:569;gardevoir_shadow:544;granbull:525,stunfisk_galarian:367;bastiodon:306;smeargle:325;wobbuffet:308;shuckle_shadow:238
flygon,Flygon,71.3,,,,,MUD_SHOT,DRAGON_CLAW,EARTH_POWER,70.5,43.7,73.2,34.1,stunfisk_galarian:778;bastiodon:750;jellicent:742;nidoqueen_shadow:671;marowak_alolan:778,smeargle:362;bronzor:473;shuckle_shadow:416;shuckle:380;wobbuffet:336
medicham,Medicham,71.3,,,,,COUNTER,ICE_PUNCH,PSYCHIC,64.9,66,66.5,55.4,stunfisk_galarian:725;bastiodon:850;shuckle_shadow:518;budew:506;sandslash_alolan:868,smeargle:459;shuckle:494;wobbuffet:291;bronzor:242;nidoqueen_shadow:318
spritzee,Spritzee,71.2,,,,,CHARM,THUNDERBOLT,DRAINING_KISS,48.8,70.3,65.2,72,jellicent:730;victreebel_shadow:509;cottonee:504;whimsicott:553;aromatisse:553,stunfisk_galarian:321;bastiodon:356;smeargle:355;wobbuffet:376;shuckle_shadow:255
aromatisse,Aromatisse,71.1,,,,,CHARM,MOONBLAST,THUNDERBOLT,46,70.3,66.8,73.2,jellicent:797;granbull_shadow:573;gardevoir_shadow:550;granbull:550;stunky_shadow:696,stunfisk_galarian:367;bastiodon:281;smeargle:325;wobbuffet:308;shuckle:238
altaria,Altaria,70.9,,,,,DRAGON_BREATH,SKY_ATTACK,MOONBLAST,54.5,59,72.7,62.2,smeargle:608;nidoqueen_shadow:576;victreebel_shadow:820;wynaut:564;wobbuffet_shadow:564,stunfisk_galarian:469;jellicent:422;bastiodon:175;wobbuffet:353;shuckle_shadow:273
clefable,Clefable,70.9,,,,,CHARM,MOONBLAST,METEOR_MASH,46.6,70,66.4,72.9,jellicent:788;chikorita:735;granbull_shadow:552;togekiss:558;gardevoir_shadow:552,stunfisk_galarian:372;bastiodon:281;smeargle:325;wobbuffet:308;shuckle:238
medicham_xs,Medicham,70.9,,,,,COUNTER,ICE_PUNCH,PSYCHIC,64.9,66.3,67.1,54.4,stunfisk_galarian:725;bastiodon:850;shuckle_shadow:518;budew:506;sandslash_alolan:868,smeargle:459;shuckle:494;wobbuffet:291;bronzor:242;nidoqueen_shadow:318
diggersby,Diggersby,70.5,,,,,MUD_SHOT,FIRE_PUNCH,EARTHQUAKE,76.1,60.3,60.7,45.2,stunfisk_galarian:759;bastiodon:838;bronzor:519;jellicent:632;shuckle_shadow:563,smeargle:177;wobbuffet:219;cottonee:468;marill:298;wynaut:242
chikorita,Chikorita,70.4,,,,,VINE_WHIP,BODY_SLAM,GRASS_KNOT,70,76.4,61.8,45.5,stunfisk_galarian:650;bastiodon:596;jellicent:771;marill:753;victreebel_shadow:632,smeargle:325;wobbuffet:393;shuckle:386;bronzor:303;shuckle_shadow:291
pachirisu,Pachirisu,70.1,,,,,VOLT_SWITCH,THUNDER_PUNCH,THUNDERBOLT,57.3,63.8,72.6,57,bastiodon:629;jellicent:803;marill:617;wigglytuff:544;marowak_alolan:522,smeargle:496;stunfisk_galarian:204;bronzor:388;shuckle:285;wobbuffet:246
barboach,Barboach,69.9,,,,,MUD_SHOT,AQUA_TAIL,MUD_BOMB,70,58.8,63.9,41.2,stunfisk_galarian:852;bastiodon:810;shuckle_shadow:578;shuckle:600;nidoqueen_shadow:752,bronzor:357;jellicent:344;wobbuffet:253;marill:301;cottonee:317
marowak_alolan,Marowak (Alolan),69.9,,,,,FIRE_SPIN,SHADOW_BONE,BONE_CLUB,68.3,55.1,67.1,47,stunfisk_galarian:781;wobbuffet:704;wynaut:704;victreebel_shadow:704;cottonee:676,smeargle:296;bronzor:430;bastiodon:181;nidoqueen_shadow:400;jellicent:294
politoed,Politoed,69.9,,,,,MUD_SHOT,WEATHER_BALL_WATER,EARTHQUAKE,64.2,63.3,68.6,33.8,stunfisk_galarian:827;bastiodon:648;nidoqueen_shadow:635;marowak_alolan:808;skorupi:654,shuckle_shadow:428;bronzor:350;smeargle:225;wobbuffet:344;shuckle:375
machamp,Machamp,69.8,,,,,COUNTER,CROSS_CHOP,ROCK_SLIDE,62.8,51.3,69.6,52.3,stunfisk_galarian:800;bastiodon:785;pachirisu:635;sandslash_alolan:857;seel:542,smeargle:337;jellicent:455;shuckle_shadow:404;shuckle:440;wobbuffet:276
sirfetchd,Sirfetch'd,69.8,,,,,COUNTER,LEAF_BLADE,NIGHT_SLASH,61.9,45.8,71.8,52.3,stunfisk_galarian:754;bastiodon:736;jellicent:684;pachirisu:596;sandslash_alolan:824,smeargle:329;shuckle_shadow:351;shuckle:351;wobbuffet:270;nidoqueen_shadow:268
deino,Deino,69.7,,,,,DRAGON_BREATH,BODY_SLAM,CRUNCH,57.1,62.2,70.7,58.7,smeargle:505;bronzor:563;jellicent:732;victreebel_shadow:627;marowak_alolan:761,stunfisk_galarian:392;bastiodon:368;wobbuffet:363;shuckle_shadow:267;shuckle:285
sylveon,Sylveon,69.7,,,,,CHARM,MOONBLAST,PSYSHOCK,46.3,68.9,64.4,71.4,jellicent:756;granbull_shadow:540;togekiss:527;gardevoir_shadow:540;mawile_shadow:567,stunfisk_galarian:372;bastiodon:281;smeargle:329;wobbuffet:308;shuckle_shadow:238
drifloon,Drifloon,69.6,,,,,HEX,ICY_WIND,SHADOW_BALL,61.2,53,72.6,40.3,stunfisk_galarian:587;wobbuffet:789;nidoqueen_shadow:557;wynaut:789;wobbuffet_shadow:890,smeargle:288;bastiodon:231;bronzor:426;jellicent:405;shuckle_shadow:232
politoed_shadow,Politoed (Shadow),69.6,,,,,MUD_SHOT,WEATHER_BALL_WATER,EARTHQUAKE,62.5,60.9,71.4,30.5,stunfisk_galarian:827;bastiodon:598;nidoqueen_shadow:574;marowak_alolan:808;sandslash_alolan:827,bronzor:400;smeargle:255;shuckle:428;shuckle_shadow:351;wobbuffet:312
whimsicott,Whimsicott,69.6,,,,,CHARM,GRASS_KNOT,MOONBLAST,47.3,63.8,63.9,71.3,jellicent:783;victreebel_shadow:529;pachirisu:537;gloom_shadow:552;chikorita:611,stunfisk_galarian:372;bastiodon:281;smeargle:203;wobbuffet:308;shuckle_shadow:291
deoxys_defense,Deoxys (Defense),69.4,,,,,COUNTER,PSYCHO_BOOST,THUNDERBOLT,60.8,56.6,68.3,45.1,stunfisk_galarian:578;bastiodon:710;nidoqueen_shadow:622;wynaut:578;marill:535,smeargle:270;bronzor:407;wobbuffet:361;shuckle_shadow:291;shuckle:184
gengar,Gengar,69.4,,,,,SHADOW_CLAW,SHADOW_BALL,SHADOW_PUNCH,59.4,45.6,82.6,43.1,stunfisk_galarian:508;wobbuffet:885;jellicent:517;nidoqueen_shadow:666;wynaut:885,bastiodon:362;shuckle_shadow:309;shuckle:285;bronzor:211;victreebel_shadow:412
granbull,Granbull,69.3,,,,,CHARM,CLOSE_COMBAT,CRUNCH,44,67,63.7,70.6,jellicent:762;seel:532;stunky_shadow:615;stunky:653;vulpix_alolan:705,stunfisk_galarian:321;bastiodon:287;smeargle:311;wobbuffet:329;shuckle_shadow:267
vulpix_shadow,Vulpix (Shadow),69.3,,,,,EMBER,WEATHER_BALL_FIRE,BODY_SLAM,63.5,56.1,66.4,52.9,stunfisk_galarian:740;victreebel_shadow:746;cottonee:639;budew:651;spritzee:544,smeargle:433;bastiodon:256;bronzor:438;wobbuffet:300;shuckle:250
shroomish,Shroomish,69.1,,,,,BULLET_SEED,GRASS_KNOT,SEED_BOMB,64.6,55.9,68.9,48,stunfisk_galarian:663;jellicent:822;marill:713;victreebel_shadow:531;wobbuffet_shadow:550,bastiodon:493;smeargle:266;wobbuffet:417;shuckle_shadow:327;bronzor:269
dragonite_shadow,Dragonite (Shadow),68.8,,,,,DRAGON_BREATH,DRAGON_CLAW,HURRICANE,46.8,56.6,70.2,62.3,jellicent:715;victreebel_shadow:769;wobbuffet_shadow:646;marowak_alolan:715;budew:630,stunfisk_galarian:326;smeargle:359;wobbuffet:453;bastiodon:168;bronzor:265
togekiss,Togekiss,68.8,,,,,CHARM,ANCIENT_POWER,FLAMETHROWER,44.2,65.2,62.7,70.7,jellicent:718;victreebel_shadow:507;gloom_shadow:531;oddish_shadow:531;seel:617,stunfisk_galarian:285;smeargle:355;bastiodon:218;wobbuffet:334;bronzor:215
machamp_shadow,Machamp (Shadow),68.7,,,,,COUNTER,CROSS_CHOP,ROCK_SLIDE,63.9,47.8,65.8,57.5,stunfisk_galarian:792;bastiodon:742;shuckle_shadow:507;pachirisu:600;sandslash_alolan:828,smeargle:359;shuckle:404;wobbuffet:304;jellicent:322;nidoqueen_shadow:312
vigoroth,Vigoroth,68.7,,,,,COUNTER,BODY_SLAM,BULLDOZE,64.6,70.2,55.6,46.5,stunfisk_galarian:813;bastiodon:662;jellicent:554;chikorita:536;sandslash_alolan:843,smeargle:433;bronzor:350;wobbuffet:285;shuckle_shadow:267;shuckle:279
primeape,Primeape,68.6,,,,,COUNTER,NIGHT_SLASH,CLOSE_COMBAT,62.5,52,68.7,52.2,stunfisk_galarian:787;bastiodon:810;marowak_alolan:568;sandslash_alolan:848;sandshrew_alolan:810,smeargle:300;jellicent:477;wobbuffet:408;shuckle:458;shuckle_shadow:345
haunter,Haunter,68.5,,,,,SHADOW_CLAW,SHADOW_PUNCH,SHADOW_BALL,58.2,42.6,84.3,42.6,stunfisk_galarian:589;wobbuffet:883;nidoqueen_shadow:660;wynaut:883;wobbuffet_shadow:776,bastiodon:362;jellicent:438;shuckle:291;shuckle_shadow:190;bronzor:165
jellicent,Jellicent,68.5,,,,,HEX,BUBBLE_BEAM,SHADOW_BALL,68.6,59.8,64.3,44.4,stunfisk_galarian:677;bastiodon:533;wobbuffet:727;bronzor:538;nidoqueen_shadow:622,shuckle:380;shuckle_shadow:315;smeargle:151;cottonee:479;victreebel_shadow:189
shelmet,Shelmet,68.5,,,,,INFESTATION,BODY_SLAM,SIGNAL_BEAM,50.2,60.3,72.3,55.4,wobbuffet:606;victreebel_shadow:767;wynaut:666;wobbuffet_shadow:691;budew:767,stunfisk_galarian:331;bastiodon:268;smeargle:188;bronzor:280;jellicent:333
obstagoon,Obstagoon,68.4,,,,,COUNTER,NIGHT_SLASH,GUNK_SHOT,67,51,58.5,47.7,stunfisk_galarian:865;bastiodon:679;bronzor:615;jellicent:711;marowak_alolan:679,smeargle:433;shuckle_shadow:327;shuckle:303;marill:487;nidoqueen_shadow:256
riolu,Riolu,68.4,,,,,COUNTER,CROSS_CHOP,BRICK_BREAK,66.7,51.5,62.5,52.3,stunfisk_galarian:820;bastiodon:769;smeargle:615;sandslash_alolan:839;seel:589,shuckle:452;shuckle_shadow:339;bronzor:246;wobbuffet:272;jellicent:283
chansey,Chansey,68.3,,,,,POUND,PSYCHIC,HYPER_BEAM,57.1,55.4,78.6,60,jellicent:711;victreebel_shadow:537;wigglytuff:630;spritzee:663;budew:540,stunfisk_galarian:392;bastiodon:393;smeargle:403;shuckle_shadow:416;shuckle:404
skorupi_shadow,Skorupi (Shadow),68.3,,,,,POISON_STING,CROSS_POISON,AQUA_TAIL,55.9,66.6,68,41.8,nidoqueen_shadow:759;cottonee:772;victreebel_shadow:765;wigglytuff:734;marill:506,stunfisk_galarian:311;bastiodon:406;wobbuffet:451;smeargle:192;shuckle_shadow:244
dratini_shadow,Dratini (Shadow),68.2,,,,,DRAGON_BREATH,AQUA_TAIL,WRAP,47.8,62,67.6,60,jellicent:626;victreebel_shadow:620;marowak_alolan:765;budew:544;chikorita:803,stunfisk_galarian:311;bastiodon:306;smeargle:359;wobbuffet:355;bronzor:300
victreebel_shadow,Victreebel (Shadow),68,,,,,RAZOR_LEAF,LEAF_BLADE,ACID_SPRAY,64,54.2,55.3,65.1,stunfisk_galarian:777;jellicent:810;nidoqueen_shadow:621;marill:804;wigglytuff:594,bastiodon:381;smeargle:300;wobbuffet:376;shuckle_shadow:273;shuckle:291
gardevoir,Gardevoir,67.9,,,,,CHARM,SYNCHRONOISE,SHADOW_BALL,42.6,64.9,64.3,68.3,jellicent:584;chikorita:686;seel:584;vulpix_alolan:686;wooper_shadow:788,stunfisk_galarian:321;bastiodon:287;smeargle:222;wobbuffet:359;bronzor:215
gloom_shadow,Gloom (Shadow),67.8,,,,,RAZOR_LEAF,SLUDGE_BOMB,MOONBLAST,65.6,56.2,49.5,65.5,stunfisk_galarian:818;jellicent:844;nidoqueen_shadow:629;marill:649;wigglytuff:675,bastiodon:412;smeargle:300;wobbuffet:363;shuckle_shadow:291;bronzor:200
golett,Golett,67.8,,,,,MUD_SLAP,SHADOW_PUNCH,BRICK_BREAK,71.8,43.7,59.7,52,stunfisk_galarian:839;bastiodon:793;wobbuffet:545;nidoqueen_shadow:839;wynaut:591,bronzor:415;smeargle:240;shuckle:357;jellicent:333;shuckle_shadow:303
bastiodon_xs,Bastiodon,67.6,,,,,SMACK_DOWN,STONE_EDGE,FLAMETHROWER,57.1,43.3,62.7,68.3,shuckle_shadow:700;bronzor:543;shuckle:712;cottonee:625;victreebel_shadow:618,stunfisk_galarian:142;smeargle:248;jellicent:466;nidoqueen_shadow:287;wobbuffet:180
skrelp,Skrelp,67.6,,,,,WATER_GUN,AQUA_TAIL,SLUDGE_BOMB,60.9,60.5,58.5,52.6,bastiodon:623;nidoqueen_shadow:805;cottonee:641;wigglytuff:623;spritzee:670,stunfisk_galarian:454;smeargle:303;shuckle_shadow:386;wobbuffet:348;bronzor:292
torterra_shadow,Torterra (Shadow),67.6,,,,,RAZOR_LEAF,FRENZY_PLANT,STONE_EDGE,68.7,52.7,50.4,63,stunfisk_galarian:875;bastiodon:664;jellicent:842;nidoqueen_shadow:664;marill:565,smeargle:266;shuckle:470;shuckle_shadow:345;wobbuffet:308;bronzor:250
vileplume_shadow,Vileplume (Shadow),67.6,,,,,RAZOR_LEAF,SLUDGE_BOMB,MOONBLAST,65.6,55.4,52.8,64.9,stunfisk_galarian:791;jellicent:820;nidoqueen_shadow:574;marill:835;victreebel_shadow:544,bastiodon:450;smeargle:300;wobbuffet:363;shuckle_shadow:291;shuckle:291
zweilous,Zweilous,67.6,,,,,DRAGON_BREATH,BODY_SLAM,DARK_PULSE,48.2,55.9,69,58.9,bronzor:594;jellicent:759;victreebel_shadow:594;marowak_alolan:740;budew:588,smeargle:488;stunfisk_galarian:229;bastiodon:237;shuckle_shadow:291;shuckle:297
lickitung,Lickitung,67.5,,,,,LICK,BODY_SLAM,POWER_WHIP,52,59.7,66.2,45.1,jellicent:776;marowak_alolan:766;budew:561;spritzee:519;skorupi_shadow:652,stunfisk_galarian:301;bastiodon:462;smeargle:318;bronzor:403;shuckle:416
oddish_shadow,Oddish (Shadow),67.5,,,,,RAZOR_LEAF,SEED_BOMB,SLUDGE_BOMB,64.7,54.4,51.4,65.4,stunfisk_galarian:808;jellicent:835;marill:828;nidoqueen_shadow:609;wigglytuff:657,bastiodon:350;smeargle:300;wobbuffet:342;shuckle_shadow:291;bronzor:188
swampert,Swampert,67.5,,,,,MUD_SHOT,HYDRO_CANNON,SLUDGE_WAVE,69.2,51.8,55.1,32.7,stunfisk_galarian:818;bastiodon:772;shuckle_shadow:662;shuckle:571;nidoqueen_shadow:694,bronzor:388;wobbuffet:357;jellicent:344;marill:402;wynaut:358
swampert_shadow,Swampert (Shadow),67.5,,,,,MUD_SHOT,HYDRO_CANNON,SLUDGE_WAVE,69.7,43.5,57.6,29.6,stunfisk_galarian:818;bastiodon:727;shuckle:662;nidoqueen_shadow:636;wobbuffet_shadow:506,bronzor:496;shuckle_shadow:464;wobbuffet:412;jellicent:400;marill:496
dusclops_shadow,Dusclops (Shadow),67.4,,,,,HEX,SHADOW_PUNCH,ICE_PUNCH,57.1,59.2,71.8,36.1,stunfisk_galarian:508;wobbuffet:688;jellicent:663;nidoqueen_shadow:729;wynaut:688,bastiodon:406;bronzor:365;smeargle:174;shuckle_shadow:220;shuckle:160
lotad,Lotad,67.4,,,,,WATER_GUN,ENERGY_BALL,BUBBLE_BEAM,70,65.4,58.2,55.1,stunfisk_galarian:879;bastiodon:649;marowak_alolan:740;pachirisu:596;spritzee:509,smeargle:307;bronzor:426;shuckle:488;shuckle_shadow:380;wobbuffet:306
bastiodon,Bastiodon,67.3,,,,,SMACK_DOWN,STONE_EDGE,FLAMETHROWER,56.3,42.9,62.7,68.8,shuckle_shadow:700;bronzor:543;shuckle:712;cottonee:625;victreebel_shadow:618,stunfisk_galarian:142;smeargle:248;jellicent:466;nidoqueen_shadow:287;wobbuffet:180
sableye,Sableye,67.2,,,,,SHADOW_CLAW,FOUL_PLAY,RETURN,55.9,62.1,67.8,42.5,stunfisk_galarian:528;bronzor:592;wobbuffet:678;wynaut:678;wobbuffet_shadow:671,bastiodon:425;jellicent:461;shuckle_shadow:291;nidoqueen_shadow:381;shuckle:250
sableye_xs,Sableye,67.2,,,,,SHADOW_CLAW,FOUL_PLAY,RETURN,55.9,62.3,67.8,42.4,stunfisk_galarian:528;bronzor:592;wobbuffet:678;wynaut:678;wobbuffet_shadow:671,bastiodon:425;jellicent:461;shuckle_shadow:291;nidoqueen_shadow:381;shuckle:250
snorlax,Snorlax,67.2,,,,,LICK,BODY_SLAM,SUPER_POWER,59,53,67.6,39,stunfisk_galarian:586;bastiodon:704;jellicent:768;marowak_alolan:568;skorupi_shadow:618,bronzor:311;shuckle:351;shuckle_shadow:303;wobbuffet:287;nidoqueen_shadow:381
dragonair_shadow,Dragonair (Shadow),67.1,,,,,DRAGON_BREATH,AQUA_TAIL,DRAGON_PULSE,47.8,58.8,65.5,59.4,jellicent:597;victreebel_shadow:687;wynaut:548;marowak_alolan:743;pachirisu:555,stunfisk_galarian:326;smeargle:344;bastiodon:268;wobbuffet:453;bronzor:303
mandibuzz,Mandibuzz,67,,,,,SNARL,FOUL_PLAY,AERIAL_ACE,53.4,61.4,69.3,45.7,bronzor:707;jellicent:803;wynaut:601;victreebel_shadow:661;wobbuffet_shadow:626,stunfisk_galarian:367;smeargle:392;bastiodon:262;wobbuffet:423;shuckle_shadow:208
pikachu_libre,Pikachu (Libre),67,,,,,THUNDER_SHOCK,FLYING_PRESS,THUNDER_PUNCH,64.2,59.4,56.9,32.9,stunfisk_galarian:750;bastiodon:668;jellicent:790;pachirisu:513;sandslash_alolan:750,smeargle:425;bronzor:365;wobbuffet:276;nidoqueen_shadow:412;shuckle_shadow:273
empoleon,Empoleon,66.9,,,,,WATERFALL,HYDRO_CANNON,DRILL_PECK,67.7,50.9,58.2,55.4,stunfisk_galarian:739;bastiodon:640;shuckle_shadow:514;nidoqueen_shadow:887;shuckle:542,bronzor:434;smeargle:237;jellicent:283;wobbuffet:193;marill:344
skorupi,Skorupi,66.9,,,,,POISON_STING,CROSS_POISON,AQUA_TAIL,52.6,69.9,64.9,46.5,cottonee:810;victreebel_shadow:765;wigglytuff:772;marill:556;budew:816,stunfisk_galarian:280;bastiodon:362;wobbuffet:355;smeargle:188;nidoqueen_shadow:425
budew,Budew,66.8,,,,,RAZOR_LEAF,GRASS_KNOT,ENERGY_BALL,65.5,57,53.2,62.5,stunfisk_galarian:627;bastiodon:540;jellicent:877;nidoqueen_shadow:715;marill:622,smeargle:288;wobbuffet:329;shuckle_shadow:232;shuckle:232;bronzor:176
stunky_shadow,Stunky (Shadow),66.8,,,,,BITE,CRUNCH,SLUDGE_BOMB,56.7,64.4,60.3,64.8,jellicent:884;nidoqueen_shadow:763;victreebel_shadow:670;marowak_alolan:774;budew:576,stunfisk_galarian:448;bastiodon:343;smeargle:359;bronzor:496;wobbuffet:410
haxorus,Haxorus,66.7,,,,,COUNTER,DRAGON_CLAW,NIGHT_SLASH,62.8,43.1,66.2,43.8,stunfisk_galarian:762;bastiodon:542;smeargle:601;jellicent:533;marowak_alolan:635,bronzor:323;wobbuffet:255;shuckle_shadow:244;shuckle:226;nidoqueen_shadow:268
registeel,Registeel,66.6,,,,,LOCK_ON,FOCUS_BLAST,FLASH_CANNON,58.8,34.7,70.2,39.3,bastiodon:790;bronzor:668;shuckle:763;shuckle_shadow:594;cottonee:750,stunfisk_galarian:142;jellicent:355;wobbuffet:214;smeargle:92;marill:301
hitmonchan_shadow,Hitmonchan (Shadow),66.3,,,,,COUNTER,ICE_PUNCH,THUNDER_PUNCH,58.9,47.9,64,55.7,stunfisk_galarian:776;bastiodon:732;sandslash_alolan:821;seel:562;mawile_shadow:562,smeargle:329;shuckle_shadow:363;shuckle:339;nidoqueen_shadow:356;wobbuffet:234
cubone_shadow,Cubone (Shadow),66.2,,,,,MUD_SLAP,BONE_CLUB,BULLDOZE,69.6,51.5,54.8,54.8,stunfisk_galarian:741;bastiodon:810;nidoqueen_shadow:839;marowak_alolan:752;pachirisu:890,shuckle_shadow:482;smeargle:240;shuckle:416;jellicent:411;bronzor:326
igglybuff,Igglybuff,66.2,,,,,FEINT_ATTACK,BODY_SLAM,WILD_CHARGE,51,63.1,66.1,43.4,jellicent:755;wynaut:508;marowak_alolan:583;budew:527;seel:541,stunfisk_galarian:397;bastiodon:487;smeargle:492;wobbuffet:346;bronzor:292
lucario,Lucario,66.2,,,,,COUNTER,POWER_UP_PUNCH,SHADOW_BALL,62.3,46.2,57.9,58.1,stunfisk_galarian:679;bastiodon:812;nidoqueen_shadow:679;chikorita:757;sandslash_alolan:875,smeargle:344;shuckle_shadow:482;shuckle:416;bronzor:261;victreebel_shadow:385
excadrill,Excadrill,66.1,,,,,MUD_SHOT,DRILL_RUN,ROCK_SLIDE,64.6,33.3,71.3,26.4,stunfisk_galarian:673;bastiodon:814;jellicent:679;shuckle_shadow:583;nidoqueen_shadow:801,bronzor:403;wobbuffet:217;smeargle:92;cottonee:348;marill:288
hitmonchan,Hitmonchan,66.1,,,,,COUNTER,ICE_PUNCH,THUNDER_PUNCH,61,49.2,60.6,52.3,stunfisk_galarian:830;bastiodon:785;sandslash_alolan:821;seel:562;mawile_shadow:562,smeargle:374;shuckle_shadow:339;shuckle:315;nidoqueen_shadow:343;wobbuffet:208
