speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
cradily,Cradily,98.9,105.2,140.3,144,2126,ACID,ROCK_TOMB,GRASS_KNOT,100,100,97.8,91,qwilfish_shadow:715;zapdos_shadow:711;toxtricity:625;kingdra_shadow:607;kingdra:600,empoleon_shadow:102;dewott_shadow:208;golisopod:226;palkia_shadow:305;blaziken_shadow:306
jumpluff_shadow,Jumpluff (Shadow),90.7,96.7,156.9,153,2323,FAIRY_WIND,ENERGY_BALL,ACROBATICS,86.1,72.6,92.9,85.4,samurott_hisuian:866;palkia_shadow:735;kingdra_shadow:679;kingdra:660;dewott_shadow:650,abomasnow:97;victreebel_mega:98;abomasnow_shadow:129;blaziken_shadow:138;toxtricity:288
victreebel_mega,Victreebel (Mega),90.7,143,102.5,107,1570,ACID,LEAF_BLADE,SLUDGE_BOMB,90.6,73,86.5,65.5,dewott_shadow:742;emolga:710;kingdra_shadow:658;charizard_mega_x:621;qwilfish_shadow:612,ninetales:174;toxtricity:194;ninetales_shadow:206;togedemaru:304;cramorant:333
charjabug_shadow,Charjabug (Shadow),90.5,114.7,134.8,126,1949,VOLT_SWITCH,X_SCISSOR,DISCHARGE,90.3,94.1,85.1,73.7,pelipper:857;cramorant:829;rillaboom:757;emolga:753;morpeko_full_belly:742,ninetales:194;ninetales_shadow:226;victreebel_mega:238;kingdra_shadow:322;toxtricity:411
charjabug,Charjabug,90.3,114.7,134.8,126,1949,VOLT_SWITCH,X_SCISSOR,DISCHARGE,89.7,88.1,88.4,86.6,samurott_hisuian:837;cramorant:817;morpeko_full_belly:777;togedemaru:742;qwilfish_shadow:650,ninetales_shadow:194;turtonator:269;blaziken_shadow:289;cradily:305;zapdos_shadow:339
ninetales,Ninetales,90.1,114.3,135.5,126,1954,EMBER,WEATHER_BALL_FIRE,ENERGY_BALL,88.9,86.3,87.9,85.6,togedemaru:869;victreebel_mega:825;jumpluff:789;samurott_hisuian:666;zapdos_shadow:571,palkia_shadow:95;kingdra:152;kingdra_shadow:165;charizard_mega_x:214;cradily:236
ninetales_shadow,Ninetales (Shadow),90,114.3,135.5,126,1954,EMBER,WEATHER_BALL_FIRE,ENERGY_BALL,91.2,89,86,73,togedemaru:857;samurott_hisuian:853;zapdos_shadow:837;victreebel_mega:793;toxtricity:579,qwilfish_shadow:134;kingdra:165;kingdra_shadow:182;palkia_shadow:225;charizard_mega_x:229
charizard_mega_x,Charizard (Mega X),89.8,140.9,115.4,98,1595,DRAGON_BREATH,BLAST_BURN,AIR_CUTTER,90.6,93.3,87.9,63.3,turtonator:872;ninetales_shadow:770;togedemaru:765;jumpluff:719;morpeko_full_belly:673,whimsicott:88;qwilfish_shadow:264;emolga:268;toxtricity:309;zapdos_shadow:325
pachirisu,Pachirisu,89.8,91.5,157.1,142,2044,VOLT_SWITCH,THUNDERBOLT,THUNDER_PUNCH,84.9,66.1,85.8,93.9,emolga:750;zapdos_shadow:697;blaziken_shadow:686;qwilfish_shadow:647;kingdra_shadow:633,stunfisk:107;flapple:179;cradily:250;charizard_mega_x:280;toxtricity:394
amoonguss,Amoonguss,89.7,109.3,105.9,177,2050,ASTONISH,FOUL_PLAY,GRASS_KNOT,86.4,69.1,90.2,86.8,togedemaru:833;kingdra:658;toxtricity:644;dewott_shadow:607;kingdra_shadow:562,abomasnow_shadow:178;abomasnow:199;turtonator:216;emolga:228;zapdos_shadow:272
lapras,Lapras,89.5,104.6,114.5,179,2147,PSYWAVE,SPARKLING_ARIA,ICE_BEAM,85.5,86,87.9,67.9,qwilfish_shadow:740;kingdra_shadow:664;jumpluff:659;palkia_shadow:617;ninetales_shadow:594,morpeko_full_belly:80;togedemaru:154;charjabug_shadow:162;ampharos_mega:197;toxtricity:343
victreebel,Victreebel,89.2,135.1,93.5,131,1656,SUCKER_PUNCH,LEAF_BLADE,SLUDGE_BOMB,86.4,77.2,84.8,67.9,togedemaru:793;qwilfish:679;samurott_hisuian:645;morpeko_full_belly:629;qwilfish_shadow:614,jumpluff:199;blaziken_shadow:205;turtonator:225;ninetales_shadow:226;toxtricity:343
dewott_shadow,Dewott (Shadow),89.1,124.1,99.7,146,1808,FURY_CUTTER,AQUA_TAIL,X_SCISSOR,90.8,91.7,86.5,52.9,cradily:791;samurott_hisuian:750;gyarados_mega:750;ninetales_shadow:719;roserade:667,emolga:148;blaziken_shadow:155;cramorant:178;kingdra_shadow:233;zapdos_shadow:245
qwilfish_shadow,Qwilfish (Shadow),89,131.1,105.5,123,1703,POISON_STING,AQUA_TAIL,SHADOW_BALL,90.5,91.5,88.4,48.5,ninetales_shadow:865;blaziken_shadow:865;charizard_mega_x:735;zapdos_shadow:670;dewott_shadow:589,emolga:184;morpeko_full_belly:207;kingdra:245;cradily:284;kingdra_shadow:300
victreebel_shadow,Victreebel (Shadow),88.7,135.1,93.5,131,1656,SUCKER_PUNCH,LEAF_BLADE,ACID_SPRAY,86,73.8,86.5,60.4,charjabug_shadow:748;emolga:690;qwilfish:614;bellossom_shadow:610;qwilfish_shadow:545,morpeko_full_belly:207;blaziken_shadow:239;ninetales_shadow:257;kingdra_shadow:309;toxtricity:347
seaking,Seaking,88.6,121.9,108.9,138,1834,PECK,DRILL_RUN,ICY_WIND,83.9,92.9,84.2,65.2,qwilfish:851;gyarados_shadow:634;jumpluff:612;palkia_shadow:568;cradily:503,togedemaru:79;emolga:136;morpeko_full_belly:156;toxtricity:173;zapdos_shadow:200
marowak_alolan,Marowak (Alolan),88.5,109.6,148.8,125,2041,FIRE_SPIN,BONE_CLUB,SHADOW_BONE,86.4,68.5,86.6,88.1,victreebel_mega:744;blaziken_shadow:740;ninetales_shadow:652;toxtricity:580;zapdos_shadow:576,kingdra_shadow:105;quagsire_shadow:133;palkia_shadow:155;qwilfish_shadow:174;gyarados_shadow:177
pelipper,Pelipper,88.5,123.2,128.7,115,1825,WING_ATTACK,WEATHER_BALL_WATER,HURRICANE,88,69.9,84.3,79.3,ninetales_shadow:752;blaziken_shadow:717;turtonator:700;jumpluff:695;dewott_shadow:656,emolga:112;ampharos_mega:120;zapdos:121;morpeko_full_belly:139;zapdos_shadow:165
amoonguss_shadow,Amoonguss (Shadow),88.4,109.3,105.9,177,2050,ASTONISH,GRASS_KNOT,FOUL_PLAY,84.2,67.5,86.5,76.6,togedemaru:847;bellossom_shadow:596;kingdra_shadow:567;kingdra:562;toxtricity:502,abomasnow:178;abomasnow_shadow:195;ninetales_shadow:202;turtonator:252;zapdos_shadow:272
emolga,Emolga,88.4,127.5,110.2,125,1758,THUNDER_SHOCK,ACROBATICS,DISCHARGE,90.3,79.3,89.3,63.5,dewott_shadow:852;samurott_hisuian:852;qwilfish_shadow:816;charizard_mega_x:732;ninetales_shadow:600,abomasnow:97;abomasnow_shadow:97;morpeko_full_belly:118;togedemaru:245;toxtricity:271
dipplin,Dipplin,88.3,114.6,128.8,132,1950,DRAGON_TAIL,SEED_BOMB,OUTRAGE,84.4,69,89.1,75,morpeko_full_belly:803;ampharos_mega:750;raikou_shadow:674;blaziken_mega:621;kingdra:503,abomasnow:143;jumpluff:160;abomasnow_shadow:160;dewott_shadow:208;zapdos_shadow:227
bellossom_shadow,Bellossom (Shadow),88.2,115,132.2,128,1948,ACID,LEAF_BLADE,DAZZLING_GLEAM,86.9,82.1,83.3,76.2,morpeko_full_belly:738;kingdra_shadow:714;qwilfish_shadow:714;samurott_hisuian:714;kingdra:570,ninetales_shadow:162;roserade:211;dewott_shadow:219;zapdos_shadow:285;toxtricity:364
empoleon,Empoleon,88.2,125.1,117,122,1788,METAL_SOUND,HYDRO_CANNON,DRILL_PECK,81,94.1,88.3,61.8,charizard_mega_x:831;palkia_shadow:750;ninetales_shadow:622;cradily:610;victreebel_mega:610,togedemaru:79;emolga:112;morpeko_full_belly:156;zapdos_shadow:165;toxtricity:173
dartrix,Dartrix,88.1,112.4,115.5,154,2001,PECK,BRAVE_BIRD,ENERGY_BALL,79.1,63,92.7,75.9,palkia_shadow:685;kingdra:629;kingdra_shadow:623;rillaboom:620;dewott_shadow:594,emolga:136;zapdos_shadow:165;toxtricity:173;togedemaru:254;cradily:312
trevenant,Trevenant,88.1,127.8,104.6,131,1752,SHADOW_CLAW,SEED_BOMB,SHADOW_BALL,83.2,74.7,85.5,70.6,raikou_shadow:881;togedemaru:801;rillaboom:763;kingdra:568;cradily:511,samurott_hisuian:155;jumpluff:160;ninetales:162;ninetales_shadow:194;toxtricity:300
zapdos_shadow,Zapdos (Shadow),88.1,138.1,103.4,112,1601,THUNDER_SHOCK,DRILL_PECK,HEAT_WAVE,93.3,94.2,89.1,38.3,samurott_hisuian:834;dewott_shadow:754;kingdra_shadow:674;charizard_mega_x:674;victreebel_mega:638,roserade:128;togedemaru:154;toxtricity:156;morpeko_full_belly:156;ninetales_shadow:162
flapple,Flapple,88,138.1,100.1,117,1618,DRAGON_BREATH,SEED_BOMB,DRAGON_PULSE,85.2,78,84.3,64.8,ampharos_mega:846;morpeko_full_belly:739;qwilfish:632;qwilfish_shadow:572;togedemaru:564,jumpluff:238;cramorant:242;dewott_shadow:263;emolga:268;toxtricity:309
samurott_hisuian,Samurott (Hisuian),88,132.6,96.7,132,1694,FURY_CUTTER,SACRED_SWORD,DARK_PULSE,88.9,93.5,81.4,59.2,abomasnow:859;abomasnow_shadow:825;qwilfish:647;qwilfish_shadow:625;kingdra:609,jumpluff:133;ninetales_shadow:146;emolga:148;blaziken_shadow:155;zapdos_shadow:165
dewott,Dewott,87.9,122.6,99.7,149,1823,FURY_CUTTER,AQUA_TAIL,X_SCISSOR,88.6,88.1,81.2,64.5,samurott_hisuian:805;gyarados_mega:805;palkia_shadow:741;roserade:728;kingdra_shadow:510,emolga:148;zapdos_shadow:165;victreebel_mega:257;togedemaru:358;toxtricity:394
tentacruel,Tentacruel,87.9,108.9,143.5,131,2047,ACID,SCALD,PAYBACK,84.6,65.2,90.1,75.4,ninetales_shadow:713;kingdra:667;cradily:652;victreebel_mega:648;qwilfish_shadow:599,togedemaru:79;magnezone_shadow:102;toxtricity:173;emolga:224;morpeko_full_belly:233
lileep_shadow,Lileep (Shadow),87.8,100.8,138.6,151,2111,ACID,GRASS_KNOT,ANCIENT_POWER,83.6,64.3,93.2,57.7,emolga:877;ninetales_shadow:665;zapdos_shadow:625;qwilfish_shadow:619;toxtricity:519,dewott:171;dewott_shadow:188;samurott_hisuian:193;pelipper:213;victreebel_mega:238
ludicolo,Ludicolo,87.7,116.4,123.6,134,1931,ASTONISH,WEATHER_BALL_WATER,ENERGY_BALL,86.7,78,83.5,72.3,quagsire_shadow:843;ninetales_shadow:667;palkia_shadow:638;kingdra:604;kingdra_shadow:578,morpeko_full_belly:131;samurott_hisuian:140;togedemaru:191;zapdos_shadow:250;toxtricity:258
abomasnow,Abomasnow,87.6,117.8,112,143,1888,POWDER_SNOW,WEATHER_BALL_ICE,ENERGY_BALL,85.2,53.3,84.3,88.8,emolga:902;jumpluff:902;victreebel_mega:646;kingdra:608;kingdra_shadow:566,ninetales:99;ninetales_shadow:130;samurott_hisuian:140;blaziken:155;blaziken_shadow:172
bellossom,Bellossom,87.6,115,132.2,128,1948,ACID,LEAF_BLADE,DAZZLING_GLEAM,85.6,74.8,84.2,85.9,palkia_shadow:785;dewott_shadow:714;samurott_hisuian:714;kingdra:597;kingdra_shadow:570,blaziken_shadow:205;turtonator:234;zapdos_shadow:245;ninetales_shadow:285;toxtricity:296
qwilfish,Qwilfish,87.6,131.1,105.5,123,1703,POISON_STING,AQUA_TAIL,SHADOW_BALL,88.3,86.7,83.2,62.3,abomasnow_shadow:686;blaziken_shadow:670;dewott_shadow:662;jumpluff:638;ninetales_shadow:573,seaking:148;morpeko_full_belly:173;cramorant:178;kingdra_shadow:245;toxtricity:372
empoleon_shadow,Empoleon (Shadow),87.3,125.1,117,122,1788,METAL_SOUND,HYDRO_CANNON,DRILL_PECK,77.7,89.3,89.1,49.2,cradily:897;rillaboom:831;charizard_mega_x:750;palkia_shadow:750;dewott_shadow:614,togedemaru:116;samurott_hisuian:140;emolga:148;toxtricity:173;zapdos_shadow:205
castform_sunny,Castform (Sunny),87.1,112.6,121.2,146,1994,EMBER,WEATHER_BALL_FIRE,SOLAR_BEAM,82.7,61.6,83.3,82.7,togedemaru:883;victreebel_mega:832;jumpluff:804;roserade:787;zapdos_shadow:568,palkia_shadow:95;gyarados_shadow:115;kingdra:152;kingdra_shadow:165;turtonator:194
trevenant_shadow,Trevenant (Shadow),87.1,127.8,104.6,131,1752,SHADOW_CLAW,SHADOW_BALL,FOUL_PLAY,81.9,75,84,62.1,togedemaru:881;emolga:740;morpeko_full_belly:660;rillaboom:648;kingdra_shadow:614,samurott_hisuian:193;ninetales:194;gyarados_mega:197;ninetales_shadow:226;toxtricity:343
zapdos,Zapdos,87.1,135.6,104.6,115,1633,THUNDER_SHOCK,DRILL_PECK,HEAT_WAVE,88.9,85.5,84,55.8,dewott_shadow:839;samurott_hisuian:839;roserade:800;cramorant:760;victreebel_mega:695,abomasnow:97;togedemaru:116;morpeko_full_belly:118;cradily:236;toxtricity:326
blaziken_shadow,Blaziken (Shadow),86.9,143.9,90.8,119,1556,EMBER,AURA_SPHERE,BLAZE_KICK,90.8,81.2,94.4,37.6,zapdos_shadow:760;toxtricity:693;cradily:693;kingdra_shadow:617;ninetales_shadow:600,quagsire_shadow:102;politoed_shadow:118;greninja:126;qwilfish_shadow:134;bruxish:141
morpeko_full_belly,Morpeko (Hangry),86.9,140.4,96.2,118,1596,THUNDER_SHOCK,AURA_WHEEL_ELECTRIC,PSYCHIC_FANGS,87.8,73.5,84.7,57.5,emolga:881;zapdos_shadow:843;qwilfish_shadow:792;kingdra:766;kingdra_shadow:690,abomasnow:230;blaziken_shadow:239;rillaboom:251;cradily:267;toxtricity:406
venusaur,Venusaur,86.8,122.1,122.1,123,1836,VINE_WHIP,FRENZY_PLANT,SLUDGE,81.9,80.6,88.8,74.7,qwilfish:817;morpeko_full_belly:686;pelipper:682;kingdra:593;kingdra_shadow:573,abomasnow:97;ninetales_shadow:99;charizard_mega_x:107;blaziken_shadow:138;zapdos_shadow:165
marowak_alolan_shadow,Marowak (Alolan) (Shadow),86.7,109.6,148.8,125,2041,FIRE_SPIN,SHADOW_BONE,BONE_CLUB,82.5,67,79.4,75.9,roserade:900;victreebel_mega:868;rillaboom:784;ninetales_shadow:732;blaziken_shadow:712,kingdra:105;kingdra_shadow:131;palkia_shadow:155;cramorant:253;toxtricity:309
rapidash_shadow,Rapidash (Shadow),86.7,133.6,111.5,112,1670,INCINERATE,DRILL_RUN,WILD_CHARGE,79.4,82.2,85.3,54.8,roserade:861;abomasnow_shadow:861;victreebel_mega:781;abomasnow:669;ninetales_shadow:616,cramorant:103;kingdra:105;kingdra_shadow:131;palkia_shadow:170;charizard_mega_x:188
abomasnow_shadow,Abomasnow (Shadow),86.6,117.8,112,143,1888,POWDER_SNOW,WEATHER_BALL_ICE,ENERGY_BALL,84.9,52.9,83.5,78.1,emolga:902;zapdos_shadow:884;kingdra_shadow:744;charizard_mega_x:744;cradily:660,ninetales_shadow:130;ninetales:130;samurott_hisuian:174;blaziken_shadow:205;toxtricity:271
ampharos_mega,Ampharos (Mega),86.6,143.5,105,104,1568,VOLT_SWITCH,BRUTAL_SWING,TRAILBLAZE,87.5,87.2,77.7,62.8,emolga:899;qwilfish_shadow:802;togedemaru:668;ninetales_shadow:658;zapdos_shadow:649,abomasnow:129;abomasnow_mega:156;abomasnow_shadow:157;toxtricity:199;kingdra:237
lumineon,Lumineon,86.6,109,137.4,137,2052,GUST,AQUA_TAIL,SILVER_WIND,85.8,81.6,78.9,81.7,blaziken_shadow:897;palkia_shadow:733;dewott_shadow:635;ninetales_shadow:609;samurott_hisuian:605,morpeko_full_belly:139;ampharos_mega:173;raikou_shadow:181;togedemaru:266;toxtricity:381
walrein,Walrein,86.5,112.4,114.9,154,1991,POWDER_SNOW,ICICLE_SPEAR,EARTHQUAKE,80.8,85.5,85,61.6,jumpluff:899;charizard_mega_x:801;emolga:801;palkia_shadow:737;kingdra_shadow:613,togedemaru:154;blaziken:155;blaziken_shadow:193;toxtricity:258;ninetales_shadow:281
gyarados,Gyarados,86.4,130.7,108.5,121,1717,DRAGON_BREATH,AQUA_TAIL,TWISTER,83.9,80.3,83.5,63.3,ninetales_shadow:743;charizard_mega_x:698;qwilfish_shadow:648;kingdra:603;toxtricity:541,charjabug:130;emolga:220;zapdos_shadow:245;cradily:288;kingdra_shadow:309
gyarados_shadow,Gyarados (Shadow),86.4,130.7,108.5,121,1717,DRAGON_BREATH,AQUA_TAIL,TWISTER,86.1,65.2,86.5,49.2,samurott_hisuian:838;turtonator:834;ninetales_shadow:710;charizard_mega_x:698;qwilfish_shadow:578,abomasnow:192;bellossom_shadow:214;victreebel_mega:257;zapdos_shadow:290;toxtricity:309
rapidash,Rapidash,86.4,133.6,111.5,112,1670,INCINERATE,DRILL_RUN,WILD_CHARGE,78.3,83.4,84.7,60.4,bellossom_shadow:772;roserade:709;abomasnow:705;victreebel_mega:687;ninetales_shadow:651,kingdra_shadow:105;palkia_shadow:140;dewott_shadow:167;qwilfish_shadow:186;toxtricity:283
samurott,Samurott,86.4,128,100.8,136,1756,FURY_CUTTER,HYDRO_CANNON,MEGAHORN,81.9,96.5,82.2,51.2,lileep:819;cradily:775;ninetales:772;abomasnow_shadow:676;kingdra:580,ninetales_shadow:146;emolga:148;zapdos_shadow:165;qwilfish_shadow:166;toxtricity:173
venusaur_shadow,Venusaur (Shadow),86.3,122.1,122.1,123,1836,VINE_WHIP,FRENZY_PLANT,SLUDGE,76.8,77.2,88.9,65.2,raikou_shadow:833;rillaboom:752;bellossom_shadow:658;morpeko_full_belly:626;kingdra:573,roserade:87;charizard_mega_x:107;ninetales_shadow:130;toxtricity:173;kingdra_shadow:233
jellicent,Jellicent,86.2,106.6,126.3,156,2102,HEX,SURF,SHADOW_BALL,83.2,76.3,83.5,75.7,blaziken_shadow:772;dewott_shadow:746;charizard_mega_x:663;kingdra_shadow:637;ninetales_shadow:608,morpeko_full_belly:88;togedemaru:129;victreebel_mega:172;toxtricity:182;roserade:190
pumpkaboo_super,Pumpkaboo (Super),86.2,111.7,113.4,141,1788,ASTONISH,GRASS_KNOT,FOUL_PLAY,82.7,63.3,82,76.6,togedemaru:822;rillaboom:634;dewott_shadow:624;kingdra:578;toxtricity:524,samurott_hisuian:162;gyarados_mega:177;abomasnow:178;turtonator:190;ninetales_shadow:202
houndoom_mega,Houndoom (Mega),86.1,149,104.2,97,1508,INCINERATE,FLAMETHROWER,TRAILBLAZE,78,66,92.2,52.6,roserade:840;emolga:788;victreebel_mega:778;cradily:747;ninetales_shadow:587,kingdra:105;kingdra_shadow:118;palkia_shadow:155;qwilfish_shadow:211;toxtricity:322
samurott_shadow,Samurott (Shadow),85.9,128,100.8,136,1756,FURY_CUTTER,HYDRO_CANNON,MEGAHORN,79.3,88.5,81.4,45.6,lileep:812;cradily:775;abomasnow:676;abomasnow_shadow:647;turtonator:610,ninetales_shadow:146;emolga:148;blaziken_shadow:155;toxtricity:173;kingdra_shadow:233
chesnaught_mega,Chesnaught (Mega),85.8,120.7,145.2,106,1860,LOW_KICK,THUNDER_PUNCH,SUPER_POWER,80.8,69.4,87.5,74,togedemaru:778;cradily:735;dewott_shadow:683;kingdra:655;kingdra_shadow:556,pelipper:121;cramorant:123;toxtricity:156;ninetales_shadow:194;zapdos_shadow:205
gyarados_mega,Gyarados (Mega),85.8,134.5,118.7,104,1661,DRAGON_BREATH,AQUA_TAIL,CRUNCH,86.9,84.9,79.4,55.3,charizard_mega_x:735;ninetales_shadow:716;turtonator:697;qwilfish_shadow:605;toxtricity:528,jumpluff:133;bellossom:144;emolga:220;victreebel_mega:257;cradily:291
palkia_shadow,Palkia (Shadow),85.8,140.3,109.9,100,1544,DRAGON_BREATH,AQUA_TAIL,DRACO_METEOR,89.7,80.3,70.5,49,ninetales_shadow:775;emolga:770;zapdos_shadow:725;cradily:695;dewott_shadow:635,jumpluff:199;bellossom:214;lileep:241;abomasnow:255;toxtricity:364
sealeo,Sealeo,85.8,108.9,112.8,168,2065,POWDER_SNOW,SURF,BODY_SLAM,83.9,89.7,80.2,67.9,charizard_mega_x:800;palkia_shadow:758;jumpluff:616;ninetales_shadow:550;zapdos_shadow:541,togedemaru:116;blaziken_mega:188;blaziken_shadow:193;morpeko_full_belly:233;toxtricity:258
houndoom_shadow,Houndoom (Shadow),85.7,139.5,97.3,118,1603,INCINERATE,FOUL_PLAY,TRAILBLAZE,77.7,59,88.1,57.7,roserade:843;jumpluff:826;victreebel_mega:766;cradily:690;ninetales_shadow:555,kingdra:105;kingdra_shadow:131;palkia_shadow:185;charizard_mega_x:188;samurott_hisuian:196
lapras_shadow,Lapras (Shadow),85.7,104.6,114.5,179,2147,PSYWAVE,SPARKLING_ARIA,ICE_BEAM,78.3,78.3,80.9,55.8,qwilfish_shadow:687;palkia_shadow:675;kingdra:664;dewott_shadow:589;kingdra_shadow:575,morpeko_full_belly:80;togedemaru:154;lileep:162;charjabug:162;zapdos_shadow:285
hydrapple,Hydrapple,85.6,122.2,110.7,136,1841,DRAGON_TAIL,SEED_BOMB,OUTRAGE,80.4,64,86.1,67.9,quagsire_shadow:845;morpeko_full_belly:801;ampharos_mega:713;togedemaru:661;raikou_shadow:643,jumpluff:160;abomasnow:171;toxtricity:194;samurott_hisuian:208;zapdos_shadow:227
gogoat,Gogoat,85.5,119.7,94.9,165,1876,VINE_WHIP,LEAF_BLADE,ROCK_SLIDE,81.1,75.1,81.7,71.6,morpeko_full_belly:766;qwilfish_shadow:751;dewott_shadow:724;samurott_hisuian:724;kingdra_shadow:560,victreebel_mega:98;ninetales_shadow:99;roserade:108;blaziken_shadow:138;zapdos_shadow:165
starmie_shadow,Starmie (Shadow),85.5,133.1,122,104,1690,PSYWAVE,AQUA_JET,POWER_GEM,80,78.3,76.6,48.3,blaziken_shadow:860;roserade:802;turtonator:783;toxtricity:725;victreebel_mega:725,samurott_hisuian:140;morpeko_full_belly:156;jumpluff:199;kingdra:258;kingdra_shadow:309
venusaur_mega,Venusaur (Mega),85.5,126.7,131.9,106,1773,VINE_WHIP,FRENZY_PLANT,SLUDGE,79,78.9,87.8,70.6,rillaboom:707;bellossom_shadow:674;morpeko_full_belly:650;kingdra:537;kingdra_shadow:509,abomasnow:97;ninetales_shadow:99;charizard_mega_x:107;zapdos_shadow:165;toxtricity:364
