speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore,topMatchups,topCounters
corsola_galarian,Corsola (Galarian),98.6,99.3,163,139,2252,ASTONISH,NIGHT_SHADE,POWER_GEM,100,86.4,98.9,100,kingdra:629;cramorant:615;altaria:600;dragonair_shadow:597;cradily:521,furret:293;snorlax:296;aurorus:408;quagsire_shadow:493;lapras:494
walrein,Walrein,91.2,112.4,114.9,154,1991,POWDER_SNOW,ICICLE_SPEAR,EARTHQUAKE,88,85.3,93.3,81.9,altaria:801;dragonair_shadow:737;snorlax:646;vigoroth:564;cramorant:538,annihilape_shadow:253;corsola_galarian:341;jellicent:400;cradily:451;kingdra:487
spidops,Spidops,91.1,110.9,138.9,131,2020,SHADOW_CLAW,LUNGE,ROCK_TOMB,93.9,81.2,87.1,82.9,cradily:637;annihilape_shadow:622;altaria:591;corsola_galarian:557;dragonair_shadow:545,cramorant:178;aurorus:185;snorlax:425;kingdra:444;vigoroth:493
deoxys_defense,Deoxys (Defense),91,101,221.4,98,2193,LOW_KICK,PSYCHO_BOOST,THUNDERBOLT,86.2,66,97.8,70.7,cradily:637;annihilape_shadow:617;cramorant:607;dragonair_shadow:602;vigoroth:571,corsola_galarian:201;jellicent:259;altaria:398;furret:428;kingdra:466
dragonair,Dragonair,91,125.2,112.4,127,1788,DRAGON_BREATH,AQUA_TAIL,DRAGON_PULSE,92.7,89.2,88,70.2,quagsire_shadow:740;altaria:633;cradily:527;vigoroth:527;jellicent:519,lapras:212;kingdra:309;corsola_galarian:384;cramorant:396;annihilape_shadow:460
persian_shadow,Persian (Shadow),91,118.6,116.3,137,1890,SCRATCH,NIGHT_SLASH,POWER_GEM,93.4,95.6,89,64.6,altaria:755;furret:700;jellicent:660;corsola_galarian:613;dragonair_shadow:514,annihilape_shadow:321;cradily:333;snorlax:403;cramorant:408;kingdra:427
toucannon_shadow,Toucannon (Shadow),90.9,137.2,96.7,123,1634,PECK,BEAK_BLAST,DRILL_PECK,93.4,84.8,90.3,47.5,corsola_galarian:833;cradily:703;vigoroth:670;altaria:605;cramorant:593,aurorus:140;kingdra:271;dragonair_shadow:322;lapras:438;snorlax:451
vigoroth,Vigoroth,90.9,116.2,114.1,145,1923,SCRATCH,BODY_SLAM,BULLDOZE,92.4,92.5,88.5,78.3,snorlax:620;cramorant:568;kingdra:541;jellicent:534;cradily:510,altaria:362;annihilape_shadow:389;aurorus:423;corsola_galarian:467;quagsire_shadow:478
cofagrigus,Cofagrigus,90.8,111.7,165.3,109,2013,SHADOW_CLAW,SHADOW_BALL,ENERGY_BALL,91.7,80.6,94.7,69.2,corsola_galarian:665;cradily:614;cramorant:582;kingdra:582;dragonair_shadow:527,snorlax:224;furret:253;altaria:452;lapras:455;vigoroth:479
mantine,Mantine,90.8,105.5,166.5,121,2127,WING_ATTACK,TWISTER,WATER_PULSE,90.6,87.5,91.7,86,annihilape_shadow:673;altaria:595;dragonair_shadow:578;cramorant:557;kingdra:549,vigoroth:358;snorlax:377;cradily:378;corsola_galarian:442;jellicent:471
hypno,Hypno,90.7,103.4,142.9,147,2174,CONFUSION,SHADOW_BALL,THUNDER_PUNCH,91.1,82.1,92.7,85.2,cramorant:653;kingdra:642;annihilape_shadow:615;snorlax:612;dragonair_shadow:517,corsola_galarian:176;jellicent:381;cradily:395;vigoroth:417;altaria:442
kommo_o,Kommo-o,90.6,123.7,137.8,106,1808,DRAGON_TAIL,CLANGING_SCALES,UPPER_HAND,84.8,88.7,97,67.1,quagsire_shadow:716;furret:683;altaria:655;cradily:636;vigoroth:603,annihilape_shadow:217;cramorant:226;kingdra:283;dragonair_shadow:358;corsola_galarian:478
lapras_shadow,Lapras (Shadow),90.6,104.6,114.5,179,2147,PSYWAVE,SPARKLING_ARIA,ICE_BEAM,87.3,91.5,93.4,68.4,aurorus:843;altaria:787;kingdra:664;vigoroth:622;cramorant:572,quagsire_shadow:189;dragonair_shadow:275;annihilape_shadow:360;corsola_galarian:388;cradily:458
araquanid_shadow,Araquanid (Shadow),90.5,97.4,174,136,2306,INFESTATION,WATER_PULSE,MIRROR_COAT,90.1,76.5,91,82.9,annihilape_shadow:694;kingdra:683;vigoroth:625;lapras:613;cradily:547,dragonair_shadow:279;corsola_galarian:323;jellicent:342;cramorant:373;altaria:452
persian,Persian,90.5,118.6,116.3,137,1890,SCRATCH,NIGHT_SLASH,POWER_GEM,92.1,89.8,90.3,74,corsola_galarian:645;snorlax:602;lapras:576;kingdra:540;vigoroth:510,annihilape_shadow:289;cramorant:380;dragonair_shadow:393;cradily:430;altaria:460
arctibax,Arctibax,90.3,122.8,98.5,151,1829,DRAGON_BREATH,AVALANCHE,DRAGON_CLAW,88.9,95,92.6,60,altaria:692;jumpluff:685;cramorant:582;vigoroth:579;jellicent:546,annihilape_shadow:289;kingdra:377;dragonair_shadow:397;corsola_galarian:402;cradily:496
latias,Latias,90.3,124.5,138.9,104,1799,DRAGON_BREATH,AURA_SPHERE,MIST_BALL,88.9,88.1,88.9,63.8,vigoroth:802;snorlax:687;altaria:634;cradily:562;cramorant:524,jellicent:233;corsola_galarian:255;annihilape_shadow:289;kingdra:309;dragonair_shadow:358
medicham,Medicham,90.2,106.9,139.4,141,2103,PSYCHO_CUT,ICE_PUNCH,DYNAMIC_PUNCH,90.4,76.8,93.1,87.7,vigoroth:659;cradily:648;altaria:549;annihilape_shadow:542;dragonair_shadow:535,jellicent:176;corsola_galarian:237;cramorant:277;kingdra:419;snorlax:478
swalot,Swalot,90.2,103.4,122.6,171,2169,INFESTATION,SLUDGE,ICE_BEAM,89.8,82.6,90.8,86.2,jumpluff:716;cradily:690;altaria:640;dragonair_shadow:605;vigoroth:502,jellicent:323;annihilape_shadow:360;cramorant:361;kingdra:423;corsola_galarian:428
annihilape_shadow,Annihilape (Shadow),90.1,123.3,105.2,140,1817,LOW_KICK,RAGE_FIST,ICE_PUNCH,88.3,89.3,84.3,75.8,cradily:889;lapras:710;kingdra:653;quagsire_shadow:632;vigoroth:610,dragonair_shadow:287;corsola_galarian:334;jellicent:358;cramorant:388;altaria:489
cofagrigus_shadow,Cofagrigus (Shadow),90.1,111.7,165.3,109,2013,SHADOW_CLAW,SHADOW_BALL,ENERGY_BALL,83.4,71.8,97.3,59.2,vigoroth:610;corsola_galarian:591;cradily:591;annihilape_shadow:541;altaria:518,furret:115;kingdra:216;cramorant:265;snorlax:291;dragonair_shadow:334
lickilicky,Lickilicky,90.1,105.7,125.5,160,2124,ROLLOUT,BODY_SLAM,SHADOW_BALL,88.9,87.3,89.6,85.4,corsola_galarian:746;altaria:656;lapras:625;jellicent:615;annihilape_shadow:571,vigoroth:337;kingdra:364;cradily:392;dragonair_shadow:476;cramorant:488
cradily_shadow,Cradily (Shadow),90,105.2,140.3,144,2126,ACID,ROCK_TOMB,GRASS_KNOT,90.6,70.7,91.9,65.1,kingdra:607;altaria:597;cramorant:572;dragonair_shadow:562;corsola_galarian:559,aurorus:112;annihilape_shadow:146;araquanid:452;grumpig:473;snorlax:475
crustle_shadow,Crustle (Shadow),90,120.3,134.7,115,1864,FURY_CUTTER,X_SCISSOR,ROCK_WRECKER,85.2,100,94,50.6,cradily:865;lapras:795;altaria:695;snorlax:669;vigoroth:565,annihilape_shadow:146;cramorant:162;kingdra:258;dragonair_shadow:287;corsola_galarian:464
lunatone,Lunatone,90,119.1,108.6,145,1876,PSYWAVE,WEATHER_BALL_ICE,ROCK_SLIDE,90.6,94.2,86.9,68.4,annihilape_shadow:765;aurorus:672;stunfisk:600;cramorant:541;altaria:524,dragonair_shadow:216;cradily:326;corsola_galarian:345;kingdra:402;vigoroth:424
blastoise,Blastoise,89.9,112.1,137.7,130,2008,BITE,HYDRO_CANNON,SKULL_BASH,89.1,85.4,91,73.5,snorlax:611;vigoroth:600;quagsire_shadow:588;corsola_galarian:573;cramorant:515,kingdra:326;dragonair_shadow:362;altaria:369;cradily:385;annihilape_shadow:475
walrein_shadow,Walrein (Shadow),89.9,112.4,114.9,154,1991,POWDER_SNOW,ICICLE_SPEAR,EARTHQUAKE,86.6,77.9,91.5,67.9,cradily:801;altaria:801;kingdra:613;cramorant:603;dragonair_shadow:503,annihilape_shadow:289;corsola_galarian:370;snorlax:441;quagsire_shadow:465;jellicent:477
wartortle,Wartortle,89.9,107.6,139,139,2080,BITE,AQUA_JET,ICE_BEAM,90.3,89,90.8,74.8,altaria:622;quagsire_shadow:607;corsola_galarian:600;cramorant:510;cradily:507,kingdra:309;dragonair_shadow:334;vigoroth:389;jellicent:419;annihilape_shadow:446
vigoroth_shadow,Vigoroth (Shadow),89.8,116.2,114.1,145,1923,SCRATCH,BRICK_BREAK,ROCK_SLIDE,89.6,95.1,86.6,70.4,altaria:768;quagsire_shadow:620;corsola_galarian:589;vigoroth:555;kingdra:520,annihilape_shadow:146;cramorant:333;dragonair_shadow:358;cradily:378;jellicent:387
hypno_shadow,Hypno (Shadow),89.7,103.4,142.9,147,2174,CONFUSION,THUNDER_PUNCH,ICE_PUNCH,90.3,88.1,90.6,76.3,altaria:751;quagsire_shadow:605;cramorant:595;annihilape_shadow:571;cradily:540,jellicent:211;corsola_galarian:327;dragonair_shadow:338;vigoroth:489;kingdra:495
pachirisu,Pachirisu,89.7,91.5,157.1,142,2044,VOLT_SWITCH,THUNDERBOLT,THUNDER_PUNCH,84.7,55.3,87.5,93.6,jellicent:714;cramorant:704;lapras:651;annihilape_shadow:637;furret:626,cradily:250;dragonair_shadow:338;kingdra:419;corsola_galarian:471;altaria:492
rillaboom,Rillaboom,89.7,132.4,99.3,129,1696,SCRATCH,DRUM_BEATING,EARTH_POWER,88.9,88.4,82.3,75.3,quagsire_shadow:926;kingdra:631;jellicent:624;snorlax:608;vigoroth:562,altaria:250;cradily:378;corsola_galarian:402;dragonair_shadow:417;cramorant:484
altaria,Altaria,89.6,103.4,151.9,138,2168,DRAGON_BREATH,MOONBLAST,FLAMETHROWER,88.3,72.3,90.1,84.2,vigoroth:637;quagsire_shadow:605;kingdra:543;furret:525;annihilape_shadow:510,jellicent:387;cradily:388;corsola_galarian:399;dragonair_shadow:456;cramorant:472
cetitan,Cetitan,89.6,120.1,77,202,1871,POWDER_SNOW,ICICLE_SPEAR,SUPER_POWER,88.6,73.1,93.6,77.8,altaria:799;snorlax:618;vigoroth:611;dragonair_shadow:512;kingdra:509,quagsire_shadow:189;annihilape_shadow:253;corsola_galarian:352;cramorant:460;cradily:482
greedent,Greedent,89.6,106.8,110.7,177,2094,BITE,BODY_SLAM,TRAILBLAZE,85.7,90.7,87.5,87.5,quagsire_shadow:757;corsola_galarian:731;lapras:638;stunfisk:615;jellicent:581,cramorant:392;altaria:398;cradily:409;kingdra:432;dragonair_shadow:452
pidgeot,Pidgeot,89.6,116.9,115.5,142,1918,GUST,TWISTER,BRAVE_BIRD,88.1,71.7,96.1,76.3,jellicent:739;corsola_galarian:577;altaria:535;kingdra:535;vigoroth:528,quagsire_shadow:251;cramorant:313;dragonair_shadow:318;cradily:434;annihilape_shadow:485
toucannon,Toucannon,89.5,137.2,96.7,123,1634,PECK,BEAK_BLAST,DRILL_PECK,87.6,76,91,57.2,altaria:703;jumpluff:703;annihilape_shadow:670;jellicent:646;kingdra:577,quagsire_shadow:220;dragonair_shadow:251;cradily:343;corsola_galarian:370;vigoroth:437
lickitung,Lickitung,89.3,96.6,127.7,186,2296,LICK,BODY_SLAM,POWER_WHIP,87.5,73.9,90.3,89.5,jellicent:817;corsola_galarian:645;dragonair_shadow:626;annihilape_shadow:534;altaria:529,snorlax:229;vigoroth:262;cradily:381;kingdra:466;cramorant:468
sealeo,Sealeo,89.1,108.9,112.8,168,2065,POWDER_SNOW,SURF,BODY_SLAM,88.9,90.6,89,81.1,altaria:773;dragonair_shadow:580;cramorant:526;snorlax:526;kingdra:505,annihilape_shadow:217;corsola_galarian:348;jellicent:371;vigoroth:403;cradily:430
annihilape,Annihilape,89,123.3,105.2,140,1817,LOW_KICK,RAGE_FIST,ICE_PUNCH,87.5,85,83.2,85.4,cradily:889;aurorus:621;vigoroth:617;ninetales_shadow:560;dragonair_shadow:539,corsola_galarian:294;jellicent:304;cramorant:329;altaria:431;kingdra:474
aurorus_shadow,Aurorus (Shadow),89,113.5,106.3,164,1979,POWDER_SNOW,WEATHER_BALL_ICE,METEOR_BEAM,85.7,75.3,85.2,67.6,jumpluff:914;cradily:887;altaria:832;snorlax:667;vigoroth:515,annihilape_shadow:232;kingdra:233;jellicent:246;dragonair_shadow:393;corsola_galarian:399
grumpig_shadow,Grumpig (Shadow),89,113.3,131.4,132,1967,PSYWAVE,DYNAMIC_PUNCH,MIRROR_COAT,85,93.2,90.1,63.1,lapras:821;vigoroth:734;quagsire_shadow:670;snorlax:636;cradily:526,cramorant:265;kingdra:296;dragonair_shadow:318;corsola_galarian:366;altaria:456
froslass,Froslass,88.8,122.5,114.8,130,1831,POWDER_SNOW,AVALANCHE,SHADOW_BALL,80.2,64.2,94.5,65.1,cradily:857;altaria:719;stunfisk:696;vigoroth:665;jumpluff:665,kingdra:237;annihilape_shadow:253;jellicent:256;dragonair_shadow:437;corsola_galarian:496
noctowl,Noctowl,88.8,105.3,120.1,168,2126,WING_ATTACK,SHADOW_BALL,RETURN,88.5,71.8,94,67.6,corsola_galarian:633;vigoroth:589;cramorant:577;dragonair_shadow:568;altaria:505,aurorus:112;lapras:343;stunfisk:380;cradily:388;kingdra:449
toxapex,Toxapex,88.8,91.9,224.3,118,2433,BITE,BRINE,SLUDGE_WAVE,83.4,73.7,96.3,75.8,aurorus:665;dragonair_shadow:601;jumpluff:584;annihilape_shadow:567;jellicent:529,altaria:347;cramorant:396;kingdra:419;cradily:420;corsola_galarian:464
girafarig_shadow,Girafarig (Shadow),88.7,130.3,101.5,130,1721,CONFUSION,PSYCHIC_FANGS,TRAILBLAZE,94.7,97.8,72.3,58,annihilape_shadow:719;vigoroth:688;cramorant:650;corsola_galarian:596;kingdra:503,jumpluff:339;dragonair_shadow:358;cradily:461;aurorus:481;altaria:489
seaking,Seaking,88.7,121.9,108.9,138,1834,PECK,DRILL_RUN,ICY_WIND,87.5,92,86.2,69.9,lapras:619;altaria:612;quagsire_shadow:543;dragonair_shadow:514;cradily:503,annihilape_shadow:325;vigoroth:396;kingdra:411;cramorant:432;corsola_galarian:453
runerigus,Runerigus,88.6,111.7,165.3,109,2013,SHADOW_CLAW,SHADOW_BALL,ROCK_TOMB,90.9,83.5,87.1,65.6,corsola_galarian:683;cradily:642;altaria:568;dragonair_shadow:513;kingdra:509,aurorus:201;furret:246;snorlax:393;lapras:455;vigoroth:493
uxie,Uxie,88.6,102.1,176,122,2194,CONFUSION,SWIFT,THUNDER,89.8,77.1,88,84.4,lapras:692;kingdra:606;quagsire_shadow:602;snorlax:590;dragonair_shadow:569,corsola_galarian:176;cradily:371;cramorant:432;altaria:456;vigoroth:496
altaria_shadow,Altaria (Shadow),88.5,103.4,151.9,138,2168,DRAGON_BREATH,MOONBLAST,FLAMETHROWER,87.1,70.7,90.1,73.7,quagsire_shadow:847;jellicent:579;cramorant:561;vigoroth:543;kingdra:521,lapras:212;annihilape_shadow:289;corsola_galarian:374;dragonair_shadow:397;cradily:402
girafarig,Girafarig,88.5,130.3,101.5,130,1721,CONFUSION,PSYCHIC_FANGS,TRAILBLAZE,90.4,94.3,77.1,70.7,aurorus:711;annihilape_shadow:688;jellicent:650;corsola_galarian:530;vigoroth:503,dragonair_shadow:303;cradily:336;altaria:384;cramorant:448;kingdra:461
latias_shadow,Latias (Shadow),88.5,126.7,135.1,103,1765,DRAGON_BREATH,AURA_SPHERE,MIST_BALL,87.6,90.1,85.2,50.8,snorlax:800;lapras:800;cradily:762;quagsire_shadow:708;vigoroth:703,cramorant:265;corsola_galarian:298;kingdra:385;altaria:471;annihilape_shadow:489
pelipper,Pelipper,88.5,123.2,128.7,115,1825,WING_ATTACK,WEATHER_BALL_WATER,HURRICANE,87.5,83.1,89,71.7,araquanid:856;furret:713;jumpluff:695;annihilape_shadow:608;kingdra:547,cramorant:329;cradily:364;vigoroth:368;dragonair_shadow:370;corsola_galarian:377
feraligatr,Feraligatr,88.4,123.8,117.3,125,1818,SHADOW_CLAW,HYDRO_CANNON,ICE_BEAM,84.8,89.3,91,67.1,aurorus:772;annihilape_shadow:716;altaria:708;jellicent:540;cramorant:508,cradily:309;vigoroth:313;corsola_galarian:428;dragonair_shadow:444;kingdra:466
maushold,Maushold,88.4,116.2,121.9,136,1928,TAKE_DOWN,SWIFT,CRUNCH,88.9,72.6,83.9,73,corsola_galarian:661;altaria:547;vigoroth:529;kingdra:525;jellicent:511,annihilape_shadow:132;aurorus:289;cradily:333;dragonair_shadow:389;snorlax:481
miltank,Miltank,88.4,105.3,134.8,150,2131,ROLLOUT,BODY_SLAM,HIGH_HORSEPOWER,87,83.5,86.6,76,altaria:620;lapras:613;jellicent:603;corsola_galarian:563;dragonair_shadow:516,annihilape_shadow:203;kingdra:334;vigoroth:337;cradily:350;cramorant:460
