speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2
guzzlord,Guzzlord,89.2,113.2,66,265,1983,DRAGON_TAIL,BRUTAL_SWING,SLUDGE_BOMB
swampert,Swampert,89.2,122.9,109.1,136,1826,MUD_SHOT,HYDRO_CANNON,EARTHQUAKE
swampert_shadow,Swampert (Shadow),89.2,122.9,109.1,136,1826,MUD_SHOT,HYDRO_CANNON,EARTHQUAKE
diggersby,Diggersby,89.1,95.7,140.3,174,2337,MUD_SHOT,FIRE_PUNCH,SCORCHING_SANDS
moltres_galarian,Moltres (Galarian),89.1,115.1,134.6,124,1922,SUCKER_PUNCH,FLY,BRAVE_BIRD
shelgon,Shelgon,89.1,123.2,119,123,1806,DRAGON_BREATH,TWISTER,FLAMETHROWER
stunfisk_galarian,Stunfisk (Galarian),89.1,101.4,126.6,172,2212,MUD_SHOT,ROCK_SLIDE,EARTHQUAKE
marowak_shadow,Marowak (Shadow),89,109.6,148.8,125,2041,MUD_SLAP,BONE_CLUB,ROCK_SLIDE
ninetales_alolan,Ninetales (Alolan),89,114.5,136.1,125,1949,POWDER_SNOW,WEATHER_BALL_ICE,CHILLING_WATER
sandslash_alolan,Sandslash (Alolan),89,115.9,133.2,125,1932,POWDER_SNOW,ICE_PUNCH,DRILL_RUN
ninetales_alolan_shadow,Ninetales (Alolan) (Shadow),88.9,114.5,136.1,125,1949,POWDER_SNOW,WEATHER_BALL_ICE,CHILLING_WATER
dusknoir,Dusknoir,88.7,119.8,174.1,90,1878,ASTONISH,DYNAMIC_PUNCH,SHADOW_PUNCH
gourgeist_large,Gourgeist (Large),88.7,115.9,137.2,122,1940,INCINERATE,SHADOW_BALL,SEED_BOMB
kingdra,Kingdra,88.7,121.8,127.9,118,1839,DRAGON_BREATH,SWIFT,OUTRAGE
ninetales,Ninetales,88.7,114.3,135.5,126,1954,EMBER,WEATHER_BALL_FIRE,OVERHEAT
bastiodon,Bastiodon,88.6,80.6,247.6,139,2776,SMACK_DOWN,STONE_EDGE,FLAMETHROWER
gourgeist_average,Gourgeist (Average),88.6,115.9,145,115,1934,INCINERATE,SHADOW_BALL,SEED_BOMB
gourgeist_super,Gourgeist (Super),88.6,115,131.6,129,1954,INCINERATE,SHADOW_BALL,SEED_BOMB
malamar_shadow,Malamar (Shadow),88.6,117.2,116.5,139,1899,PSYWAVE,FOUL_PLAY,SUPER_POWER
milotic_shadow,Milotic (Shadow),88.6,113.1,133.8,131,1985,WATERFALL,AQUA_TAIL,WRAP
samurott,Samurott,88.6,128,100.8,136,1756,FURY_CUTTER,HYDRO_CANNON,MEGAHORN
golisopod,Golisopod,88.5,124,134.6,108,1804,FURY_CUTTER,X_SCISSOR,AQUA_JET
grumpig,Grumpig,88.5,113.3,131.4,132,1967,PSYWAVE,DYNAMIC_PUNCH,SHADOW_BALL
mandibuzz,Mandibuzz,88.5,92.1,151.2,175,2440,SNARL,FOUL_PLAY,SHADOW_BALL
murkrow,Murkrow,88.5,143.1,81.1,135,1568,PECK,DRILL_PECK,FOUL_PLAY
oranguru,Oranguru,88.5,110.1,130,142,2035,CONFUSION,BRUTAL_SWING,TRAILBLAZE
swalot,Swalot,88.5,103.4,122.6,171,2169,MUD_SHOT,SLUDGE,ICE_BEAM
weezing_galarian_shadow,Weezing (Galarian) (Shadow),88.5,117.6,139.5,116,1905,FAIRY_WIND,SLUDGE,BRUTAL_SWING
cresselia,Cresselia,88.4,93.1,160.7,160,2396,PSYCHO_CUT,GRASS_KNOT,MOONBLAST
doublade,Doublade,88.4,122.9,140,106,1825,SHADOW_CLAW,SACRED_SWORD,GYRO_BALL
grumpig_shadow,Grumpig (Shadow),88.4,113.3,131.4,132,1967,PSYWAVE,DYNAMIC_PUNCH,SHADOW_BALL
lanturn,Lanturn,88.4,104.8,105.5,194,2145,WATER_GUN,SURF,THUNDERBOLT
milotic,Milotic,88.4,113.1,133.8,131,1985,WATERFALL,AQUA_TAIL,WRAP
scizor_shadow,Scizor (Shadow),88.4,137.8,112,105,1622,BULLET_PUNCH,NIGHT_SLASH,TRAILBLAZE
turtonator,Turtonator,88.4,113.5,153.6,113,1971,INCINERATE,BRUTAL_SWING,DRAGON_CLAW
castform_sunny,Castform (Sunny),88.3,112.6,121.2,146,1994,EMBER,WEATHER_BALL_FIRE,SOLAR_BEAM
dragonair,Dragonair,88.3,125.2,112.4,127,1788,DRAGON_BREATH,AQUA_TAIL,DRAGON_PULSE
dunsparce,Dunsparce,88.3,104.7,110.9,184,2139,ROLLOUT,DRILL_RUN,ROCK_SLIDE
morgrem,Morgrem,88.3,124.8,98,147,1799,SUCKER_PUNCH,FOUL_PLAY,PLAY_ROUGH
morpeko_full_belly,Morpeko (Hangry),88.3,140.4,96.2,118,1596,THUNDER_SHOCK,AURA_WHEEL_ELECTRIC,PSYCHIC_FANGS
noctowl,Noctowl,88.3,105.3,120.1,168,2126,WING_ATTACK,SKY_ATTACK,SHADOW_BALL
primeape_shadow,Primeape (Shadow),88.3,138.7,100.1,116,1611,KARATE_CHOP,RAGE_FIST,ICE_PUNCH
charjabug_shadow,Charjabug (Shadow),88.2,114.7,134.8,126,1949,VOLT_SWITCH,X_SCISSOR,DISCHARGE
dewott_shadow,Dewott (Shadow),88.2,124.1,99.7,146,1808,FURY_CUTTER,AQUA_TAIL,X_SCISSOR
gourgeist_small,Gourgeist (Small),88.2,116.8,152.9,107,1913,INCINERATE,SHADOW_BALL,SEED_BOMB
lumineon,Lumineon,88.2,109,137.4,137,2052,WATERFALL,AQUA_TAIL,SILVER_WIND
shelgon_shadow,Shelgon (Shadow),88.2,123.2,119,123,1806,DRAGON_BREATH,TWISTER,FLAMETHROWER
samurott_shadow,Samurott (Shadow),88.1,128,100.8,136,1756,FURY_CUTTER,HYDRO_CANNON,MEGAHORN
drapion,Drapion,88,117.8,136.8,118,1903,POISON_STING,CRUNCH,AQUA_TAIL
toucannon_shadow,Toucannon (Shadow),88,137.2,96.7,123,1634,PECK,BEAK_BLAST,DRILL_PECK
dragonair_shadow,Dragonair (Shadow),87.9,125.2,112.4,127,1788,DRAGON_BREATH,WRAP,AQUA_TAIL
politoed,Politoed,87.9,114,124.2,139,1970,MUD_SHOT,WEATHER_BALL_WATER,ICE_BEAM
bellibolt,Bellibolt,87.8,115,110.1,154,1953,THUNDER_SHOCK,ZAP_CANNON,PARABOLIC_CHARGE
annihilape_shadow,Annihilape (Shadow),87.7,123.3,105.2,140,1817,COUNTER,RAGE_FIST,ICE_PUNCH
aurorus,Aurorus,87.7,113.5,106.3,164,1979,POWDER_SNOW,WEATHER_BALL_ICE,METEOR_BEAM
bronzong,Bronzong,87.7,110.8,152.2,120,2026,CONFUSION,WEATHER_BALL_WATER,PAYBACK
spidops,Spidops,87.7,110.9,138.9,131,2020,SHADOW_CLAW,LUNGE,ROCK_TOMB
crustle,Crustle,87.6,120.3,134.7,115,1864,FURY_CUTTER,X_SCISSOR,ROCK_WRECKER
klefki,Klefki,87.6,117.9,137.4,117,1897,ASTONISH,FOUL_PLAY,PLAY_ROUGH
ludicolo,Ludicolo,87.5,116.4,123.6,134,1931,ASTONISH,WEATHER_BALL_WATER,LEAF_STORM
togekiss,Togekiss,87.5,124.2,125.8,115,1799,PECK,PSYSHOCK,AURA_SPHERE
aegislash_shield,Aegislash (Blade),87.4,82.8,234.6,139,2702,AEGISLASH_CHARGE_PSYCHO_CUT,SHADOW_BALL,GYRO_BALL
pachirisu,Pachirisu,87.4,91.5,157.1,142,2044,VOLT_SWITCH,HYPER_FANG,THUNDER_PUNCH
giratina_altered_shadow,Giratina (Altered) (Shadow),87.3,105.2,125,159,2093,DRAGON_BREATH,DRAGON_CLAW,SHADOW_SNEAK
ninetales_shadow,Ninetales (Shadow),87.3,114.3,135.5,126,1954,EMBER,WEATHER_BALL_FIRE,OVERHEAT
gligar_shadow,Gligar (Shadow),87.2,108.4,145.3,131,2065,WING_ATTACK,NIGHT_SLASH,DIG
murkrow_shadow,Murkrow (Shadow),87.1,143.1,81.1,135,1568,PECK,DRILL_PECK,FOUL_PLAY
crustle_shadow,Crustle (Shadow),87,120.3,134.7,115,1864,FURY_CUTTER,X_SCISSOR,ROCK_WRECKER
weezing_galarian,Weezing (Galarian),87,117.6,139.5,116,1905,FAIRY_WIND,SLUDGE,BRUTAL_SWING
kommo_o,Kommo-o,86.9,123.7,137.8,106,1808,DRAGON_TAIL,CLANGING_SCALES,UPPER_HAND
miltank,Miltank,86.9,105.3,134.8,150,2131,ROLLOUT,BODY_SLAM,THUNDERBOLT
dragalge,Dragalge,86.8,117.8,143.1,113,1906,ACID,AQUA_TAIL,OUTRAGE
sandslash_alolan_shadow,Sandslash (Alolan) (Shadow),86.8,115.9,133.2,125,1932,POWDER_SNOW,ICE_PUNCH,DRILL_RUN
thievul,Thievul,86.8,119.8,121.9,127,1856,SUCKER_PUNCH,NIGHT_SLASH,PLAY_ROUGH
kingdra_shadow,Kingdra (Shadow),86.7,121.8,127.9,118,1839,DRAGON_BREATH,SWIFT,OUTRAGE
melmetal,Melmetal,86.7,120.9,105.1,146,1858,THUNDER_SHOCK,DOUBLE_IRON_BASH,SUPER_POWER
wormadam_trash,Wormadam (Trash),86.7,104.9,151.1,135,2142,SUCKER_PUNCH,BUG_BUZZ,IRON_HEAD
blastoise_shadow,Blastoise (Shadow),86.6,112.1,137.7,130,2008,ROLLOUT,HYDRO_CANNON,SKULL_BASH
pelipper,Pelipper,86.6,123.2,128.7,115,1825,WING_ATTACK,WEATHER_BALL_WATER,HURRICANE
carbink,Carbink,86.5,84,252,126,2669,ROCK_THROW,ROCK_SLIDE,MOONBLAST
dewott,Dewott,86.5,122.6,99.7,149,1823,FURY_CUTTER,AQUA_TAIL,X_SCISSOR
greninja_shadow,Greninja (Shadow),86.5,139.5,100.3,115,1611,WATER_SHURIKEN,HYDRO_CANNON,NIGHT_SLASH
gyarados_shadow,Gyarados (Shadow),86.5,130.7,108.5,121,1717,DRAGON_BREATH,AQUA_TAIL,TWISTER
hakamo_o,Hakamo-o,86.5,115.5,135.5,124,1942,DRAGON_TAIL,BRICK_BREAK,ROCK_TOMB
araquanid,Araquanid,86.3,97.4,174,136,2306,BUG_BITE,WATER_PULSE,BUBBLE_BEAM
castform_rainy,Castform (Rainy),86.3,112.6,121.2,146,1994,WATER_GUN,WEATHER_BALL_WATER,THUNDER
gligar,Gligar,86.3,108.4,145.3,131,2065,WING_ATTACK,NIGHT_SLASH,DIG
hydreigon_shadow,Hydreigon (Shadow),86.3,136,104.5,116,1650,DRAGON_BREATH,BRUTAL_SWING,FLY
primarina,Primarina,86.3,131.6,115.6,112,1705,WATERFALL,DISARMING_VOICE,HYDRO_CANNON
toucannon,Toucannon,86.3,137.2,96.7,123,1634,PECK,BEAK_BLAST,DRILL_PECK
walrein,Walrein,86.3,112.4,114.9,154,1991,POWDER_SNOW,ICICLE_SPEAR,EARTHQUAKE
dewgong,Dewgong,86.2,101.9,136.9,157,2192,ICE_SHARD,ICY_WIND,DRILL_RUN
emolga,Emolga,86.2,127.5,110.2,125,1758,THUNDER_SHOCK,ACROBATICS,DISCHARGE
fearow,Fearow,86.2,131.4,104.6,124,1706,PECK,DRILL_PECK,DRILL_RUN
regidrago,Regidrago,86.2,121.8,62.7,241,1842,DRAGON_BREATH,DRAGON_ENERGY,VICE_GRIP
primeape,Primeape,86.1,138.7,100.1,116,1611,KARATE_CHOP,RAGE_FIST,CLOSE_COMBAT
spiritomb,Spiritomb,86.1,120.7,147.8,104,1857,SUCKER_PUNCH,ROCK_TOMB,SHADOW_BALL
zweilous,Zweilous,86.1,120.4,110.2,140,1859,DRAGON_BREATH,BODY_SLAM,DARK_PULSE
goodra,Goodra,86,119.6,134.1,117,1878,DRAGON_BREATH,AQUA_TAIL,THUNDER_PUNCH
metang_shadow,Metang (Shadow),86,108.9,145.8,129,2050,FURY_CUTTER,PSYSHOCK,GYRO_BALL
steelix,Steelix,86,98.4,183.2,126,2273,THUNDER_FANG,PSYCHIC_FANGS,CRUNCH
tentacruel,Tentacruel,86,108.9,143.5,131,2047,ACID,SCALD,PAYBACK
umbreon,Umbreon,86,90.2,177,156,2492,SNARL,FOUL_PLAY,LAST_RESORT
gyarados,Gyarados,85.9,130.7,108.5,121,1717,DRAGON_BREATH,AQUA_TAIL,TWISTER
metang,Metang,85.9,108.9,145.8,129,2050,FURY_CUTTER,PSYSHOCK,GYRO_BALL
zweilous_shadow,Zweilous (Shadow),85.9,120.4,110.2,140,1859,DRAGON_BREATH,BODY_SLAM,DARK_PULSE
amoonguss,Amoonguss,85.8,109.3,105.9,177,2050,ASTONISH,FOUL_PLAY,GRASS_KNOT
dubwool,Dubwool,85.8,110.6,143,128,2025,DOUBLE_KICK,BODY_SLAM,PAYBACK
hydreigon,Hydreigon,85.8,136,104.5,116,1650,DRAGON_BREATH,BRUTAL_SWING,FLY
lickitung,Lickitung,85.8,96.6,127.7,186,2296,LICK,BODY_SLAM,POWER_WHIP
cradily_b,Cradily,85.7,105.2,140.3,144,2126,BULLET_SEED,ROCK_TOMB,GRASS_KNOT
marowak_alolan_shadow,Marowak (Alolan) (Shadow),85.7,109.6,148.8,125,2041,FIRE_SPIN,SHADOW_BONE,BONE_CLUB
raikou,Raikou,85.7,131.9,110.6,116,1693,THUNDER_SHOCK,WILD_CHARGE,AURA_SPHERE
toxapex,Toxapex,85.7,91.9,224.3,118,2433,POISON_JAB,BRINE,SLUDGE_WAVE
marowak,Marowak,85.6,109.6,148.8,125,2041,MUD_SLAP,BONE_CLUB,ROCK_SLIDE
marowak_alolan,Marowak (Alolan),85.6,109.6,148.8,125,2041,FIRE_SPIN,BONE_CLUB,SHADOW_BONE
tinkatuff,Tinkatuff,85.6,104.1,134.4,149,2087,FAIRY_WIND,PLAY_ROUGH,FLASH_CANNON
aurorus_shadow,Aurorus (Shadow),85.5,113.5,106.3,164,1979,POWDER_SNOW,WEATHER_BALL_ICE,METEOR_BEAM
hippowdon_shadow,Hippowdon (Shadow),85.5,116.1,116.7,142,1926,SAND_ATTACK,WEATHER_BALL_ROCK,SCORCHING_SANDS
walrein_shadow,Walrein (Shadow),85.5,112.4,114.9,154,1991,POWDER_SNOW,ICICLE_SPEAR,EARTHQUAKE
linoone,Linoone,85.4,114.1,111.7,154,1965,SHADOW_CLAW,SWIFT,GRASS_KNOT
qwilfish_shadow,Qwilfish (Shadow),85.4,131.1,105.5,123,1703,POISON_STING,AQUA_TAIL,ICE_BEAM
solrock,Solrock,85.4,119.1,108.6,145,1876,PSYWAVE,WEATHER_BALL_FIRE,ROCK_SLIDE
torkoal,Torkoal,85.4,107.5,151.3,128,2084,EMBER,FLAME_WHEEL,OVERHEAT
machamp_shadow,Machamp (Shadow),85.3,135.4,98.6,124,1656,KARATE_CHOP,CROSS_CHOP,ROCK_SLIDE
mawile,Mawile,85.3,124.7,120.8,119,1794,FAIRY_WIND,VICE_GRIP,IRON_HEAD
diggersby_shadow,Diggersby (Shadow),85.2,95.7,140.3,174,2337,MUD_SHOT,SCORCHING_SANDS,FIRE_PUNCH
gallade_shadow,Gallade (Shadow),85.2,136.5,115.6,104,1642,PSYCHO_CUT,CLOSE_COMBAT,LEAF_BLADE
greninja,Greninja,85.2,139.5,100.3,115,1611,WATER_SHURIKEN,HYDRO_CANNON,NIGHT_SLASH
pangoro,Pangoro,85.2,133.9,93.7,133,1670,KARATE_CHOP,CLOSE_COMBAT,NIGHT_SLASH
ampharos,Ampharos,85.1,126.8,107.9,129,1766,VOLT_SWITCH,BRUTAL_SWING,TRAILBLAZE
claydol,Claydol,85.1,103.5,172.6,121,2164,MUD_SLAP,ROCK_TOMB,SHADOW_BALL
dodrio,Dodrio,85.1,143.7,98.4,110,1557,PECK,DRILL_PECK,BRAVE_BIRD
gallade,Gallade,85.1,136.5,115.6,104,1642,PSYCHO_CUT,CLOSE_COMBAT,LEAF_BLADE
latias,Latias,85.1,124.5,138.9,104,1799,DRAGON_BREATH,AURA_SPHERE,MIST_BALL
gogoat,Gogoat,84.9,119.7,94.9,165,1876,VINE_WHIP,LEAF_BLADE,ROCK_SLIDE
klang,Klang,84.9,114,137.7,125,1965,METAL_SOUND,VICE_GRIP,THUNDERBOLT
lunatone,Lunatone,84.9,119.1,108.6,145,1876,PSYWAVE,WEATHER_BALL_ICE,ROCK_SLIDE
machoke_shadow,Machoke (Shadow),84.9,126.7,97.3,143,1766,KARATE_CHOP,CROSS_CHOP,DYNAMIC_PUNCH
dudunsparce,Dudunsparce,84.8,116.1,98.5,169,1935,ROLLOUT,BODY_SLAM,DRILL_RUN
hippowdon,Hippowdon,84.8,116.1,116.7,142,1926,SAND_ATTACK,WEATHER_BALL_ROCK,SCORCHING_SANDS
registeel,Registeel,84.8,95.6,190,129,2346,LOCK_ON,FOCUS_BLAST,ZAP_CANNON
bellossom,Bellossom,84.7,115,132.2,128,1948,ACID,LEAF_BLADE,DAZZLING_GLEAM
dedenne,Dedenne,84.7,124.3,109,133,1804,THUNDER_SHOCK,DISCHARGE,PLAY_ROUGH
hypno,Hypno,84.7,103.4,142.9,147,2174,CONFUSION,SHADOW_BALL,THUNDER_PUNCH
qwilfish_hisuian,Qwilfish (Hisuian),84.7,128,112.3,121,1742,POISON_STING,AQUA_TAIL,SHADOW_BALL
raichu,Raichu,84.7,133.5,110.6,114,1685,THUNDER_SHOCK,WILD_CHARGE,TRAILBLAZE
jirachi,Jirachi,84.6,120.4,119.3,129,1855,CONFUSION,DOOM_DESIRE,AURA_SPHERE
kingambit,Kingambit,84.6,127.2,112,124,1768,METAL_SOUND,FOUL_PLAY,IRON_HEAD
mawile_shadow,Mawile (Shadow),84.6,124.7,120.8,119,1794,FAIRY_WIND,VICE_GRIP,IRON_HEAD
ampharos_shadow,Ampharos (Shadow),84.5,126.8,107.9,129,1766,VOLT_SWITCH,BRUTAL_SWING,TRAILBLAZE
samurott_hisuian,Samurott (Hisuian),84.5,132.6,96.7,132,1694,FURY_CUTTER,SACRED_SWORD,ICY_WIND
togetic,Togetic,84.5,110.1,150.2,123,2035,FAIRY_WIND,PSYSHOCK,HEAT_WAVE
abomasnow_shadow,Abomasnow (Shadow),84.4,117.8,112,143,1888,POWDER_SNOW,WEATHER_BALL_ICE,ENERGY_BALL
runerigus,Runerigus,84.3,111.7,165.3,109,2013,SHADOW_CLAW,SHADOW_BALL,ROCK_TOMB
dartrix,Dartrix,84.2,112.4,115.5,154,2001,PECK,BRAVE_BIRD,SEED_BOMB
golisopodsh,Golisopod,84.2,124,134.6,108,1804,SHADOW_CLAW,AQUA_JET,X_SCISSOR
jumpluff_shadow,Jumpluff (Shadow),84.2,96.7,156.9,153,2323,FAIRY_WIND,AERIAL_ACE,ACROBATICS
machamp,Machamp,84.2,135.4,98.6,124,1656,KARATE_CHOP,CROSS_CHOP,ROCK_SLIDE
qwilfish,Qwilfish,84.2,131.1,105.5,123,1703,POISON_STING,AQUA_TAIL,ICE_BEAM
toedscruel,Toedscruel,84.2,108.9,143.5,131,2047,MUD_SLAP,SEED_BOMB,WRAP
abomasnow,Abomasnow,84,117.8,112,143,1888,POWDER_SNOW,WEATHER_BALL_ICE,ENERGY_BALL
amoonguss_shadow,Amoonguss (Shadow),84,109.3,105.9,177,2050,ASTONISH,GRASS_KNOT,FOUL_PLAY
drampa,Drampa,84,136.8,104.2,115,1640,DRAGON_BREATH,SWIFT,DRAGON_PULSE
cradily_shadow,Cradily (Shadow),83.9,105.2,140.3,144,2126,ACID,ROCK_TOMB,GRASS_KNOT
latias_shadow,Latias (Shadow),83.9,126.7,135.1,103,1765,DRAGON_BREATH,AURA_SPHERE,MIST_BALL
amaura_shadow,Amaura (Shadow),83.8,114.2,104.1,165,1965,POWDER_SNOW,WEATHER_BALL_ICE,THUNDERBOLT
cetoddle,Cetoddle,83.8,112.6,79.8,213,1915,POWDER_SNOW,AVALANCHE,BODY_SLAM
dragonite_shadow,Dragonite (Shadow),83.8,135.8,107.3,113,1647,DRAGON_BREATH,THUNDER_PUNCH,SUPER_POWER
mightyena_shadow,Mightyena (Shadow),83.8,125.8,105.7,133,1771,SUCKER_PUNCH,CRUNCH,POISON_FANG
trumbeak_shadow,Trumbeak (Shadow),83.8,133.7,94.3,132,1665,PECK,DRILL_PECK,ROCK_BLAST
venusaur,Venusaur,83.8,122.1,122.1,123,1836,VINE_WHIP,FRENZY_PLANT,SLUDGE
victreebel_shadow,Victreebel (Shadow),83.7,135.1,93.5,131,1656,ACID,LEAF_BLADE,SLUDGE_BOMB
whiscash,Whiscash,83.7,107.5,108.2,178,2074,MUD_SHOT,MUD_BOMB,SCALD
cetitan,Cetitan,83.6,120.1,77,202,1871,POWDER_SNOW,ICICLE_SPEAR,SUPER_POWER
dachsbun,Dachsbun,83.6,113.4,156.1,112,1984,CHARM,PSYCHIC_FANGS,PLAY_ROUGH
overqwil,Overqwil,83.6,131,106.8,122,1708,POISON_STING,AQUA_TAIL,SHADOW_BALL
victreebel,Victreebel,83.6,135.1,93.5,131,1656,ACID,LEAF_BLADE,SLUDGE_BOMB
wailmer,Wailmer,83.6,116.5,68.2,242,1927,ROLLOUT,SCALD,BODY_SLAM
castform,Castform,83.5,112.6,121.2,146,1994,HEX,WEATHER_BALL_ROCK,ENERGY_BALL
gliscor,Gliscor,83.5,115.6,144.4,116,1939,WING_ATTACK,SAND_TOMB,ACROBATICS
vespiquen,Vespiquen,83.5,108.8,143.4,132,2062,FURY_CUTTER,X_SCISSOR,POWER_GEM
wartortle,Wartortle,83.5,107.6,139,139,2080,WATER_GUN,AQUA_JET,ICE_BEAM
arctibax,Arctibax,83.4,122.8,98.5,151,1829,DRAGON_BREATH,AVALANCHE,DRAGON_CLAW
blaziken,Blaziken,83.4,143.9,90.8,119,1556,EMBER,AURA_SPHERE,BLAST_BURN
cofagrigus,Cofagrigus,83.4,111.7,165.3,109,2013,SHADOW_CLAW,SHADOW_BALL,RETURN
flamigo,Flamigo,83.4,137.9,95.5,123,1622,WING_ATTACK,UPPER_HAND,BRAVE_BIRD
piloswine_shadow,Piloswine (Shadow),83.4,121,99.4,154,1855,POWDER_SNOW,ICICLE_SPEAR,STONE_EDGE
cresselia_shadow,Cresselia (Shadow),83.3,92,158.9,160,2340,PSYCHO_CUT,GRASS_KNOT,MOONBLAST
electrode_hisuian,Electrode (Hisuian),83.3,123.2,128.7,115,1825,THUNDER_SHOCK,WILD_CHARGE,SWIFT
