speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore
dartrix,Dartrix,89.6,112.4,115.5,154,2001,PECK,BRAVE_BIRD,SEED_BOMB,90.3,87.6,91.4,82.2
togekiss,Togekiss,89.6,124.2,125.8,115,1799,PECK,PSYSHOCK,AURA_SPHERE,83.7,91.7,88.2,65.9
mawile_shadow,Mawile (Shadow),89.3,124.7,120.8,119,1794,ASTONISH,IRON_HEAD,VICE_GRIP,86,81.2,92.5,73.6
venusaur,Venusaur,89.3,122.1,122.1,123,1836,VINE_WHIP,FRENZY_PLANT,SLUDGE,88.6,90.8,94.3,65.9
cradily,Cradily,89.2,105.2,140.3,144,2126,ACID,ROCK_TOMB,GRASS_KNOT,89,93,87.3,65.4
amoonguss,Amoonguss,89,109.3,105.9,177,2050,ASTONISH,GRASS_KNOT,FOUL_PLAY,82.7,73.3,92.8,78.6
ferrothorn_shadow,Ferrothorn (Shadow),88.8,107.1,152.7,128,2094,BULLET_SEED,POWER_WHIP,FLASH_CANNON,82.9,60.5,95,78.1
trevenant_shadow,Trevenant (Shadow),88.8,127.8,104.6,131,1752,SHADOW_CLAW,SHADOW_BALL,SEED_BOMB,90.8,79.5,85.6,53.8
gourgeist_large,Gourgeist (Large),88.7,115.9,137.2,122,1940,INCINERATE,SHADOW_BALL,SEED_BOMB,87.8,92.5,90.4,69.9
kartana,Kartana,88.4,169.1,99.3,79,1328,FURY_CUTTER,LEAF_BLADE,SACRED_SWORD,93.6,71.6,87.9,50.3
amoonguss_shadow,Amoonguss (Shadow),87.8,109.3,105.9,177,2050,ASTONISH,GRASS_KNOT,FOUL_PLAY,79.8,72.9,90.2,71.1
gourgeist_average,Gourgeist (Average),87.7,115.9,145,115,1934,INCINERATE,SHADOW_BALL,SEED_BOMB,86.3,91.2,90.4,68.6
pelipper,Pelipper,87.7,123.2,128.7,115,1825,WING_ATTACK,WEATHER_BALL_WATER,HURRICANE,90.3,67.6,87.3,69.6
kingdra,Kingdra,87.5,121.8,127.9,118,1839,DRAGON_BREATH,SWIFT,OUTRAGE,86,69.7,89.3,82.4
trevenant,Trevenant,87.5,127.8,104.6,131,1752,SHADOW_CLAW,SEED_BOMB,SHADOW_BALL,86.2,85.4,88.9,53.3
gourgeist_super,Gourgeist (Super),87.4,115,131.6,129,1954,INCINERATE,SHADOW_BALL,SEED_BOMB,84.7,91.2,89.1,70.4
venusaur_shadow,Venusaur (Shadow),87.4,122.1,122.1,123,1836,VINE_WHIP,FRENZY_PLANT,SLUDGE,85.2,90.9,93.6,49.1
lapras_shadow,Lapras (Shadow),87.2,104.6,114.5,179,2147,PSYWAVE,SPARKLING_ARIA,ICE_BEAM,84,84.6,86.8,57.6
walrein_shadow,Walrein (Shadow),87.2,112.4,114.9,154,1991,POWDER_SNOW,ICICLE_SPEAR,EARTHQUAKE,89.5,91.9,89.8,46.3
tinkatuff,Tinkatuff,86.6,104.1,134.4,149,2087,FAIRY_WIND,PLAY_ROUGH,FLASH_CANNON,82.7,59.5,91.4,81.2
dewgong,Dewgong,86.4,101.9,136.9,157,2192,ICE_SHARD,ICY_WIND,DRILL_RUN,88,77.3,85.6,69.4
golisopod,Golisopod,86.3,124,134.6,108,1804,FURY_CUTTER,X_SCISSOR,AQUA_JET,83.2,79.3,87.7,66.4
abomasnow_shadow,Abomasnow (Shadow),86.2,117.8,112,143,1888,POWDER_SNOW,WEATHER_BALL_ICE,ENERGY_BALL,85.9,61.4,84.7,54.1
gourgeist_small,Gourgeist (Small),86,116.8,152.9,107,1913,INCINERATE,SHADOW_BALL,SEED_BOMB,81.8,86.5,90.7,69.9
kingdra_shadow,Kingdra (Shadow),85.9,121.8,127.9,118,1839,DRAGON_BREATH,SWIFT,OUTRAGE,89.5,77,85.4,57.6
cradily_shadow,Cradily (Shadow),85.7,105.2,140.3,144,2126,ACID,ROCK_TOMB,GRASS_KNOT,85.9,69.4,86.6,56.3
abomasnow,Abomasnow,85.3,117.8,112,143,1888,POWDER_SNOW,WEATHER_BALL_ICE,ENERGY_BALL,85.7,51.9,87,66.6
electrode_hisuian,Electrode (Hisuian),85,123.2,128.7,115,1825,THUNDER_SHOCK,WILD_CHARGE,SWIFT,92.4,68.6,85.4,73.4
togetic,Togetic,84.9,110.1,150.2,123,2035,FAIRY_WIND,PSYSHOCK,HEAT_WAVE,80.8,76.2,86.3,78.4
slowbro,Slowbro,84.6,113.4,120.9,144,1975,CONFUSION,DRAIN_PUNCH,ICE_BEAM,89.6,68.6,77.2,71.9
sealeo,Sealeo,84.3,108.9,112.8,168,2065,POWDER_SNOW,SURF,BODY_SLAM,86.2,85.5,79.7,72.4
ludicolo,Ludicolo,84.2,116.4,123.6,134,1931,ASTONISH,WEATHER_BALL_WATER,LEAF_STORM,81.4,66,87.3,69.1
qwilfish,Qwilfish,84,131.1,105.5,123,1703,POISON_STING,AQUA_TAIL,ICE_BEAM,84.2,80.8,80.9,65.1
carbink,Carbink,83.8,84,252,126,2669,ROCK_THROW,ROCK_SLIDE,MOONBLAST,78.5,50.2,88,78.6
ninetales_alolan,Ninetales (Alolan),83.8,114.5,136.1,125,1949,POWDER_SNOW,WEATHER_BALL_ICE,DAZZLING_GLEAM,82.6,49.6,84.5,77.1
weepinbell_shadow,Weepinbell (Shadow),83.2,139.3,82.6,140,1613,ACID,POWER_WHIP,SEED_BOMB,78.1,80.6,80.9,45.1
sealeo_shadow,Sealeo (Shadow),83,108.9,112.8,168,2065,POWDER_SNOW,SURF,BODY_SLAM,85.7,84.9,74.2,60.6
ninetales_alolan_shadow,Ninetales (Alolan) (Shadow),82.7,114.5,136.1,125,1949,POWDER_SNOW,WEATHER_BALL_ICE,DAZZLING_GLEAM,84.9,54.5,81.1,57.1
bellossom,Bellossom,82.6,115,132.2,128,1948,ACID,LEAF_BLADE,DAZZLING_GLEAM,79,73.5,84.7,72.1
clefable,Clefable,82.4,116.5,112.1,147,1922,FAIRY_WIND,MOONBLAST,METEOR_MASH,74.2,58.9,87.9,57.3
samurott_shadow,Samurott (Shadow),82.4,128,100.8,136,1756,FURY_CUTTER,HYDRO_CANNON,MEGAHORN,79.6,88.5,78.5,41.6
bellossom_shadow,Bellossom (Shadow),82.3,115,132.2,128,1948,ACID,LEAF_BLADE,DAZZLING_GLEAM,80,72.7,79.7,59.3
dewott_shadow,Dewott (Shadow),81.9,124.1,99.7,146,1808,FURY_CUTTER,AQUA_TAIL,X_SCISSOR,80.3,85.2,74.9,47.6
qwilfish_shadow,Qwilfish (Shadow),81.9,131.1,105.5,123,1703,POISON_STING,AQUA_TAIL,ICE_BEAM,84.2,82.2,75.6,50.1
serperior,Serperior,81.8,110.2,142.2,130,2038,VINE_WHIP,FRENZY_PLANT,AERIAL_ACE,74.4,65.6,87,56.3
tropius,Tropius,81.8,101.4,128,170,2208,AIR_SLASH,LEAF_BLADE,AERIAL_ACE,80.4,65.9,82.7,71.4
pumpkaboo_super,Pumpkaboo (Super),81.7,111.7,113.4,141,1788,ASTONISH,GRASS_KNOT,FOUL_PLAY,75,65.9,83.4,60.1
samurott_hisuian,Samurott (Hisuian),81.7,132.6,96.7,132,1694,FURY_CUTTER,SACRED_SWORD,ICY_WIND,80.1,79.7,73.1,53.3
slowbro_shadow,Slowbro (Shadow),81.7,113.4,120.9,144,1975,CONFUSION,DRAIN_PUNCH,ICE_BEAM,85.2,72.5,71.7,65.6
leavanny,Leavanny,81.6,129.4,110.2,121,1727,SHADOW_CLAW,LEAF_BLADE,X_SCISSOR,79.6,77.3,82.5,54.6
morgrem,Morgrem,81.6,124.8,98,147,1799,SUCKER_PUNCH,FOUL_PLAY,PLAY_ROUGH,79.6,52.9,82.4,58.8
samurott,Samurott,81.6,128,100.8,136,1756,FURY_CUTTER,HYDRO_CANNON,MEGAHORN,82.2,83.8,78.1,47.8
feraligatr,Feraligatr,81.4,123.8,117.3,125,1818,SHADOW_CLAW,HYDRO_CANNON,ICE_BEAM,81.8,85.7,73.5,49.3
feraligatr_shadow,Feraligatr (Shadow),81.3,123.8,117.3,125,1818,SHADOW_CLAW,HYDRO_CANNON,ICE_BEAM,77.5,84.7,74.9,41.6
volcanion,Volcanion,81.2,135.5,117.4,103,1640,INCINERATE,SCALD,OVERHEAT,77.5,72.7,84.1,68.6
gyarados,Gyarados,80.9,130.7,108.5,121,1717,DRAGON_BREATH,AQUA_TAIL,CRUNCH,78.8,78.1,79.9,63.9
dhelmise,Dhelmise,80.7,139.7,109.3,105,1605,SHADOW_CLAW,POWER_WHIP,BRUTAL_SWING,80.6,85.2,75.4,45.6
gyarados_shadow,Gyarados (Shadow),80.5,130.7,108.5,121,1717,DRAGON_BREATH,AQUA_TAIL,CRUNCH,80.6,86.3,76.5,44.3
wigglytuff,Wigglytuff,80.5,115.1,75.5,223,1939,CHARM,ICY_WIND,SWIFT,80,48.3,80.4,68.9
bruxish,Bruxish,80.3,136.4,102.5,117,1637,CONFUSION,AQUA_TAIL,PSYCHIC_FANGS,83.7,76.3,65.1,57.1
weepinbell,Weepinbell,80.3,137.9,84.8,139,1627,ACID,POWER_WHIP,SEED_BOMB,78.5,80.9,77.7,50.8
starmie,Starmie,80.2,133.1,122,104,1690,PSYWAVE,SURF,POWER_GEM,81.1,68.6,71.7,47.8
pumpkaboo_large,Pumpkaboo (Large),80.1,113.4,115.1,133,1737,ASTONISH,GRASS_KNOT,FOUL_PLAY,74.9,67.6,79.5,57.8
decidueye_hisuian,Decidueye (Hisuian),80,126.9,109.4,127,1765,PSYCHO_CUT,TRAILBLAZE,AURA_SPHERE,77,70.8,77.2,65.4
lileep,Lileep,79.9,100.8,138.6,151,2111,ACID,GRASS_KNOT,ANCIENT_POWER,78.6,59.7,82.9,57.8
sceptile_shadow,Sceptile (Shadow),79.9,135.6,109.3,111,1646,FURY_CUTTER,LEAF_BLADE,BREAKING_SWIPE,84.5,75.4,77,37.3
barbaracle,Barbaracle,79.6,120.9,133,115,1851,FURY_CUTTER,CROSS_CHOP,STONE_EDGE,78.6,81.6,79.3,49.1
dewott,Dewott,79.6,122.6,99.7,149,1823,FURY_CUTTER,AQUA_TAIL,X_SCISSOR,79.1,83.9,72.6,51.6
lileep_shadow,Lileep (Shadow),79.6,100.8,138.6,151,2111,ACID,GRASS_KNOT,ANCIENT_POWER,72.4,51.9,85.4,49.1
lurantis,Lurantis,79.2,126.2,117.8,119,1770,LEAFAGE,LEAF_BLADE,SUPER_POWER,80.9,54.1,77.7,53.3
celebi,Celebi,79,120.4,119.3,129,1855,CONFUSION,AURA_SPHERE,LEAF_STORM,69.6,55.3,85.9,60.1
meganium,Meganium,79,110.8,139,131,2018,VINE_WHIP,FRENZY_PLANT,EARTHQUAKE,72.4,56.4,83.4,53.3
starmie_shadow,Starmie (Shadow),78.5,133.1,122,104,1690,PSYWAVE,SURF,POWER_GEM,75.9,64.6,73.5,41.3
gogoat,Gogoat,78.4,119.7,94.9,165,1876,VINE_WHIP,LEAF_BLADE,ROCK_SLIDE,73.7,61.1,79.5,58.8
dedenne,Dedenne,78.3,124.3,109,133,1804,THUNDER_SHOCK,DISCHARGE,PLAY_ROUGH,74.5,59.1,79.9,65.1
lanturn,Lanturn,78.2,104.8,105.5,194,2145,SPARK,SURF,THUNDERBOLT,75.4,44.5,80.2,70.9
grimmsnarl,Grimmsnarl,77.9,136.2,90.8,133,1646,SUCKER_PUNCH,FOUL_PLAY,PLAY_ROUGH,74.7,49.7,73.3,49.8
frillish,Frillish,77.8,109.2,125.2,135,1846,HEX,NIGHT_SHADE,ICE_BEAM,75.7,54.6,75.8,57.3
pumpkaboo_average,Pumpkaboo (Average),77.7,114.2,115.9,126,1670,ASTONISH,GRASS_KNOT,FOUL_PLAY,73.4,62.2,77,52.1
pumpkaboo_small,Pumpkaboo (Small),77.2,115.1,116.8,119,1600,ASTONISH,GRASS_KNOT,FOUL_PLAY,74.4,60.8,76.1,49.6
blastoise,Blastoise,77,112.1,137.7,130,2008,ROLLOUT,HYDRO_CANNON,SKULL_BASH,74.2,52.4,73.3,52.6
poliwrath,Poliwrath,77,115.8,122,137,1936,MUD_SHOT,DYNAMIC_PUNCH,ICY_WIND,75.7,69.2,76.1,44.6
poliwrath_shadow,Poliwrath (Shadow),77,115.8,122,137,1936,MUD_SHOT,DYNAMIC_PUNCH,ICY_WIND,75.2,76.2,76.3,42.3
sceptile,Sceptile,76.7,135.6,109.3,111,1646,FURY_CUTTER,LEAF_BLADE,BREAKING_SWIPE,78.1,68.4,73,45.3
toedscruel,Toedscruel,76.6,108.9,143.5,131,2047,MUD_SLAP,SEED_BOMB,WRAP,73.6,50.8,70.1,63.9
oddish,Oddish,76.4,122.6,106.7,120,1571,ACID,SEED_BOMB,SLUDGE_BOMB,72.1,67.5,76,50.6
oddish_shadow,Oddish (Shadow),76.3,122.6,106.7,120,1571,ACID,SEED_BOMB,SLUDGE_BOMB,69.8,68.3,77,41.8
ivysaur,Ivysaur,76,118.7,121,131,1883,VINE_WHIP,POWER_WHIP,SLUDGE_BOMB,60.1,48.3,83.8,48.3
meowscarada,Meowscarada,76,140.3,99.1,115,1600,LEAFAGE,FRENZY_PLANT,NIGHT_SLASH,78.3,50.7,71.5,43.1
slowpoke_shadow,Slowpoke (Shadow),76,104.1,94.9,186,1840,CONFUSION,PSYSHOCK,WATER_PULSE,78.5,65.2,70.6,47.1
blastoise_shadow,Blastoise (Shadow),75.7,112.1,137.7,130,2008,ROLLOUT,HYDRO_CANNON,SKULL_BASH,72.9,51.8,68.5,42.3
aromatisse,Aromatisse,75.6,115.8,107.3,156,1939,CHARM,PSYSHOCK,MOONBLAST,67.5,39.6,81.7,59.6
politoed_shadow,Politoed (Shadow),75.5,114,124.2,139,1970,MUD_SHOT,WEATHER_BALL_WATER,ICE_BEAM,77.3,76.5,66.4,39.8
rapidash_galarian,Rapidash (Galarian),75.5,133.6,111.5,112,1670,FAIRY_WIND,BODY_SLAM,WILD_CHARGE,80,48.3,73.5,43.1
parasect,Parasect,75.4,124.1,118.2,123,1807,FURY_CUTTER,X_SCISSOR,CROSS_POISON,73.9,57.8,73.8,58.1
meganium_shadow,Meganium (Shadow),75.3,110.8,139,131,2018,VINE_WHIP,FRENZY_PLANT,EARTHQUAKE,61.6,38.5,82.5,44.6
servine_shadow,Servine (Shadow),75.3,105.8,140.3,142,2110,VINE_WHIP,GRASS_KNOT,WRAP,73.9,63,75.1,55.1
shiftry_shadow,Shiftry (Shadow),75.3,133.4,88,143,1680,SNARL,LEAF_BLADE,FOUL_PLAY,72.7,46.2,74.6,35.5
cacturne,Cacturne,74.9,147.2,85,121,1516,SUCKER_PUNCH,TRAILBLAZE,DYNAMIC_PUNCH,68.8,54,69.4,48.6
vileplume,Vileplume,74.9,128.8,112.7,120,1743,ACID,SLUDGE_BOMB,PETAL_BLIZZARD,60.4,37,79.3,46.1
cacturne_shadow,Cacturne (Shadow),74.7,147.2,85,121,1516,SUCKER_PUNCH,TRAILBLAZE,DYNAMIC_PUNCH,70.8,49.6,66.9,55.1
chesnaught,Chesnaught,74.7,119.3,126.9,124,1879,LOW_KICK,FRENZY_PLANT,SUPER_POWER,66.8,38,76.7,54.6
decidueye,Decidueye,74.7,127.8,115.2,119,1754,LEAFAGE,FRENZY_PLANT,SPIRIT_SHACKLE,79,69.8,82,42.1
servine,Servine,74.6,105.8,140.3,142,2110,VINE_WHIP,GRASS_KNOT,WRAP,76.3,56.7,74,64.1
mr_mime,Mr. Mime,74.4,131.5,144.2,90,1709,PSYWAVE,SHADOW_BALL,PSYCHIC,65,49.6,74.9,36.5
slowpoke,Slowpoke,74.2,104.1,94.9,186,1840,CONFUSION,PSYSHOCK,WATER_PULSE,72.6,58.1,74,59.1
golduck_shadow,Golduck (Shadow),74,124.1,112.1,129,1797,CONFUSION,CROSS_CHOP,LIQUIDATION,78.3,71.9,68,45.1
greninja_shadow,Greninja (Shadow),74,139.5,100.3,115,1611,WATER_SHURIKEN,HYDRO_CANNON,NIGHT_SLASH,75.2,60.6,72.2,30.3
hatterene,Hatterene,74,142.1,115,96,1570,PSYCHO_CUT,PSYSHOCK,POWER_WHIP,75.9,63.2,75.8,24.8
quagsire_shadow,Quagsire (Shadow),74,111.2,112.6,161,2018,MUD_SHOT,AQUA_TAIL,STONE_EDGE,73.1,57.8,69.8,44.3
appletun,Appletun,73.9,116.5,102.5,161,1924,ASTONISH,SEED_BOMB,OUTRAGE,68.1,48.3,72.8,58.6
gloom,Gloom,73.5,121.3,115.9,131,1844,ACID,SLUDGE_BOMB,MOONBLAST,63.6,47.5,76.5,52.6
quaquaval,Quaquaval,73.5,137.7,98.6,120,1630,WING_ATTACK,CLOSE_COMBAT,HYDRO_CANNON,70.8,70,77,29.3
swadloon,Swadloon,73.5,106.7,146.2,135,2106,BUG_BITE,ENERGY_BALL,SILVER_WIND,67.5,36.7,75.6,70.9
swanna,Swanna,73.5,128.5,101,134,1742,AIR_SLASH,FLY,ICE_BEAM,60.1,44.2,80.4,49.6
ivysaur_shadow,Ivysaur (Shadow),73.4,119.8,121.3,129,1877,VINE_WHIP,POWER_WHIP,SLUDGE_BOMB,55.2,42.4,81.5,41.8
azumarill,Azumarill,73.3,93.4,134.4,191,2400,BUBBLE,ICE_BEAM,PLAY_ROUGH,63.2,43.5,78.6,56.8
gloom_shadow,Gloom (Shadow),73.3,121.3,115.9,131,1844,ACID,SLUDGE_BOMB,MOONBLAST,62.9,49.4,76,49.6
politoed,Politoed,73.2,114,124.2,139,1970,MUD_SHOT,WEATHER_BALL_WATER,ICE_BEAM,70.4,61.4,69.4,49.8
dachsbun,Dachsbun,72.7,113.4,156.1,112,1984,CHARM,PSYCHIC_FANGS,PLAY_ROUGH,68.6,44.8,70.6,65.1
grovyle,Grovyle,72.7,136.3,103.2,117,1647,QUICK_ATTACK,LEAF_BLADE,AERIAL_ACE,71.4,65.2,71.7,31.5
quaxwell,Quaxwell,72.7,125.4,103.5,138,1792,WING_ATTACK,AQUA_JET,AERIAL_ACE,70.4,67.8,69.2,40.3
wailmer_shadow,Wailmer (Shadow),72.7,116.5,68.2,242,1927,ROLLOUT,SCALD,BODY_SLAM,73.1,65.6,68.2,41.1
dipplin,Dipplin,72.6,114.6,128.8,132,1950,DRAGON_TAIL,SEED_BOMB,OUTRAGE,69.1,39.9,71.5,50.8
florges,Florges,72.6,120,141.5,110,1870,FAIRY_WIND,CHILLING_WATER,DISARMING_VOICE,65.9,62.4,69.6,52.3
golduck,Golduck,72.5,124.1,112.1,129,1797,CONFUSION,CROSS_CHOP,LIQUIDATION,75.4,71.6,66.9,45.6
quilladin_shadow,Quilladin (Shadow),72.5,114.9,130.2,130,1947,VINE_WHIP,BODY_SLAM,ENERGY_BALL,65.5,60.6,72.4,46.6
palkia_shadow,Palkia (Shadow),72.3,140.3,109.9,100,1544,DRAGON_BREATH,AQUA_TAIL,DRACO_METEOR,72.6,61.4,48.4,33
cherrim_sunny,Cherrim (Sunshine),72.2,121.8,116.2,130,1843,BULLET_SEED,WEATHER_BALL_FIRE,SOLAR_BEAM,62.7,39.6,71,48.6
shiinotic,Shiinotic,72.1,116.5,134.2,123,1925,ASTONISH,SEED_BOMB,MOONBLAST,66.3,43.1,74.7,57.1
sylveon,Sylveon,72.1,117.3,124.6,130,1902,CHARM,PSYSHOCK,MOONBLAST,64,38.8,76.9,55.8
chesnaught_shadow,Chesnaught (Shadow),72,119.3,126.9,124,1879,VINE_WHIP,FRENZY_PLANT,SUPER_POWER,61.9,32.8,77.6,45.8
exeggutor_shadow,Exeggutor (Shadow),71.9,136.1,92.5,131,1650,CONFUSION,SEED_BOMB,PSYCHIC,73.2,54.1,64.4,41.6
torterra,Torterra,71.8,119.9,117,133,1867,MUD_SLAP,FRENZY_PLANT,SAND_TOMB,65,42.9,73.3,55.3
shiftry,Shiftry,71.7,133.4,88,143,1680,SNARL,LEAF_BLADE,FOUL_PLAY,69.1,42.7,68.7,40.3
serperior_shadow,Serperior (Shadow),71.6,110.2,142.2,130,2038,VINE_WHIP,FRENZY_PLANT,LEAF_TORNADO,69.8,42.4,82.5,49.1
flapple,Flapple,71.5,138.1,100.1,117,1618,DRAGON_BREATH,SEED_BOMB,DRAGON_PULSE,69.8,49.6,70.6,43.6
greninja,Greninja,71.4,139.5,100.3,115,1611,WATER_SHURIKEN,HYDRO_CANNON,NIGHT_SLASH,72.1,61.8,65.3,35.8
quilladin,Quilladin,71.1,114.9,130.2,130,1947,VINE_WHIP,BODY_SLAM,ENERGY_BALL,67.7,53.8,71.4,52.8
castform_rainy,Castform (Rainy),71,112.6,121.2,146,1994,WATER_GUN,WEATHER_BALL_WATER,THUNDER,70.8,44.2,71.5,44.3
dondozo,Dondozo,70.8,105.7,106.9,187,2114,WATERFALL,SURF,OUTRAGE,67.8,42.3,68.3,49.6
gastrodon,Gastrodon,70.6,113.2,103.4,168,1967,MUD_SLAP,BODY_SLAM,WATER_PULSE,70.1,44.8,63.5,58.1
quagsire,Quagsire,70.6,111.2,112.6,161,2018,MUD_SHOT,AQUA_TAIL,STONE_EDGE,69.8,51.1,65.7,43.8
tangrowth,Tangrowth,70.6,120.7,112.7,136,1852,VINE_WHIP,POWER_WHIP,ROCK_SLIDE,61.3,38,76.9,42.1
bibarel_shadow,Bibarel (Shadow),70.5,122.9,99.2,149,1819,ROLLOUT,SURF,HYPER_FANG,65,48.9,69.6,34.5
grovyle_shadow,Grovyle (Shadow),70.4,136.3,103.2,117,1647,BULLET_SEED,LEAF_BLADE,AERIAL_ACE,69.1,45.6,69,20.8
vileplume_shadow,Vileplume (Shadow),70.3,128.8,112.7,120,1743,ACID,SLUDGE_BOMB,MOONBLAST,57.2,44.5,72.4,45.1
wailmer,Wailmer,70.3,116.5,68.2,242,1927,ROLLOUT,SCALD,BODY_SLAM,70.3,58.4,64.6,49.6
slowking_shadow,Slowking (Shadow),70.1,113.4,120.9,144,1975,CONFUSION,SURF,BLIZZARD,73.6,51.1,58.2,50.3
swampert_shadow,Swampert (Shadow),69.9,122.9,109.1,136,1826,MUD_SHOT,HYDRO_CANNON,EARTHQUAKE,66.7,56.8,63.4,45.3
wailord,Wailord,69.8,118.3,67.4,237,1892,ROLLOUT,SURF,RETURN,68.5,45.1,66,39.5
dolliv,Dolliv,69.7,118.4,122.6,130,1890,MAGICAL_LEAF,EARTH_POWER,TRAILBLAZE,66.3,37.5,65.1,56.8
milotic_shadow,Milotic (Shadow),69.7,113.1,133.8,131,1985,WATERFALL,AQUA_TAIL,WRAP,69.5,51.8,57.9,44.3
slowking,Slowking,69.5,113.4,120.9,144,1975,CONFUSION,SURF,BLIZZARD,69.8,45.3,67.1,58.3
leafeon,Leafeon,69.3,128.1,133.9,102,1750,QUICK_ATTACK,LEAF_BLADE,LAST_RESORT,62.1,51.8,69,38.3
exeggutor,Exeggutor,69,136.1,92.5,131,1650,CONFUSION,SEED_BOMB,PSYCHIC,66.3,51.3,65.8,41.3
hydrapple,Hydrapple,69,122.2,110.7,136,1841,DRAGON_TAIL,SEED_BOMB,OUTRAGE,62.9,42.6,70.6,45.8
swampert,Swampert,69,122.9,109.1,136,1826,MUD_SHOT,HYDRO_CANNON,EARTHQUAKE,66.2,52.1,61.9,46.8
tangrowth_shadow,Tangrowth (Shadow),69,120.7,112.7,136,1852,VINE_WHIP,POWER_WHIP,ROCK_SLIDE,55.7,32.6,76.1,32.3
skrelp,Skrelp,68.5,104.1,104.1,127,1379,ACID,AQUA_TAIL,TWISTER,66.8,56.8,66.7,49.1
whimsicott,Whimsicott,68.4,118.7,135,118,1892,FAIRY_WIND,SEED_BOMB,MOONBLAST,63.2,35,71.2,47.8
nuzleaf_shadow,Nuzleaf (Shadow),68.1,125.2,78.1,157,1536,FEINT_ATTACK,LEAF_BLADE,FOUL_PLAY,61.6,38.6,63.9,33.8
wailord_shadow,Wailord (Shadow),67.8,118.3,67.4,237,1892,ROLLOUT,SURF,HYPER_BEAM,63.6,46.4,62.1,33
bibarel,Bibarel,67.7,122.9,99.2,149,1819,ROLLOUT,SURF,HYPER_FANG,67.5,42.6,65.7,35.8
marshtomp,Marshtomp,67.6,119.8,111.5,140,1871,MUD_SHOT,SURF,SLUDGE,63.7,55.6,61.8,39
suicune,Suicune,67.6,106.2,143,137,2083,ICE_FANG,BUBBLE_BEAM,SCALD,75.7,60.2,67.6,54.1
torterra_shadow,Torterra (Shadow),67.3,119.9,117,133,1867,MUD_SLAP,FRENZY_PLANT,SAND_TOMB,62.1,40.2,68,43.6
bayleef,Bayleef,67.2,105.5,141.5,142,2122,MAGICAL_LEAF,ANCIENT_POWER,ENERGY_BALL,62.1,35.3,69.4,46.6
lumineon,Lumineon,67.2,109,137.4,137,2052,WATERFALL,AQUA_TAIL,SILVER_WIND,65.2,46.2,62.1,50.3
marshtomp_shadow,Marshtomp (Shadow),67,120.4,111.4,139,1865,MUD_SHOT,SURF,SLUDGE,63.7,56.4,65,33.3
wartortle,Wartortle,67,107.6,139,139,2080,WATER_GUN,AQUA_JET,ICE_BEAM,62.1,43.5,66,45.3
